# 带圈与带括号的字母数字（U+2460–U+24FF）。用 Opus 5 重写，
# 上一版详细读法大面积重复（多个条目都读「带圈数字 1」），这一轮逐条区分。
# 格式：码位 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同）
2460	带圈 1	圆圈里包着一位数 1，常做列表序号
248F	点号 8	一位数 8 后面跟一个句点，常做列表序号
2490	点号 9	一位数 9 后面跟一个句点，常做列表序号
2491	点号 10	两位数 10 后面跟一个句点，常做列表序号
2492	点号 11	两位数 11 后面跟一个句点，常做列表序号
2493	点号 12	两位数 12 后面跟一个句点，常做列表序号
2494	点号 13	两位数 13 后面跟一个句点，常做列表序号
2495	点号 14	两位数 14 后面跟一个句点，常做列表序号
2496	点号 15	两位数 15 后面跟一个句点，常做列表序号
2497	点号 16	两位数 16 后面跟一个句点，常做列表序号
2498	点号 17	两位数 17 后面跟一个句点，常做列表序号
2499	点号 18	两位数 18 后面跟一个句点，常做列表序号
249A	点号 19	两位数 19 后面跟一个句点，常做列表序号
249B	点号 20	两位数 20 后面跟一个句点，常做列表序号
249C	带括号 a	一对圆括号夹着小写字母 a，常做分项序号
249D	带括号 b	一对圆括号夹着小写字母 b，常做分项序号
249E	带括号 c	一对圆括号夹着小写字母 c，常做分项序号
249F	带括号 d	一对圆括号夹着小写字母 d，常做分项序号
24A0	带括号 e	一对圆括号夹着小写字母 e，常做分项序号
24A1	带括号 f	一对圆括号夹着小写字母 f，常做分项序号
24A2	带括号 g	一对圆括号夹着小写字母 g，常做分项序号
24A3	带括号 h	一对圆括号夹着小写字母 h，常做分项序号
24A4	带括号 i	一对圆括号夹着小写字母 i，常做分项序号
24A5	带括号 j	一对圆括号夹着小写字母 j，常做分项序号
24A6	带括号 k	一对圆括号夹着小写字母 k，常做分项序号
24A7	带括号 l	一对圆括号夹着小写字母 l，常做分项序号
24A8	带括号 m	一对圆括号夹着小写字母 m，常做分项序号
24A9	带括号 n	一对圆括号夹着小写字母 n，常做分项序号
24AA	带括号 o	一对圆括号夹着小写字母 o，常做分项序号
24AB	带括号 p	一对圆括号夹着小写字母 p，常做分项序号
24AC	带括号 q	一对圆括号夹着小写字母 q，常做分项序号
24AD	带括号 r	一对圆括号夹着小写字母 r，常做分项序号
24AE	带括号 s	一对圆括号夹着小写字母 s，常做分项序号
24AF	带括号 t	一对圆括号夹着小写字母 t，常做分项序号
24B0	带括号 u	一对圆括号夹着小写字母 u，常做分项序号
24B1	带括号 v	一对圆括号夹着小写字母 v，常做分项序号
24B2	带括号 w	一对圆括号夹着小写字母 w，常做分项序号
24B3	带括号 x	一对圆括号夹着小写字母 x，常做分项序号
24B4	带括号 y	一对圆括号夹着小写字母 y，常做分项序号
24B5	带括号 z	一对圆括号夹着小写字母 z，常做分项序号
24B6	带圈 A	圆圈里包着大写字母 A
24B7	带圈 B	圆圈里包着大写字母 B
24B8	带圈 C	圆圈里包着大写字母 C，不是版权那个圈 C
24B9	带圈 D	圆圈里包着大写字母 D
24BA	带圈 E	圆圈里包着大写字母 E
24BB	带圈 F	圆圈里包着大写字母 F
24BC	带圈 G	圆圈里包着大写字母 G
24BD	带圈 H	圆圈里包着大写字母 H
24BE	带圈 I	圆圈里包着大写字母 I
24BF	带圈 J	圆圈里包着大写字母 J
24C0	带圈 K	圆圈里包着大写字母 K
24C1	带圈 L	圆圈里包着大写字母 L
24C2	带圈 M	圆圈里包着大写字母 M
24C3	带圈 N	圆圈里包着大写字母 N
24C4	带圈 O	圆圈里包着大写字母 O
24C5	带圈 P	圆圈里包着大写字母 P
24C6	带圈 Q	圆圈里包着大写字母 Q
24C7	带圈 R	圆圈里包着大写字母 R，不是注册商标那个圈 R
24C8	带圈 S	圆圈里包着大写字母 S
24C9	带圈 T	圆圈里包着大写字母 T
24CA	带圈 U	圆圈里包着大写字母 U
24CB	带圈 V	圆圈里包着大写字母 V
24CC	带圈 W	圆圈里包着大写字母 W
24CD	带圈 X	圆圈里包着大写字母 X
24CE	带圈 Y	圆圈里包着大写字母 Y
24CF	带圈 Z	圆圈里包着大写字母 Z
24D0	带圈 a	空心圆圈里一个小写字母 a
24D1	带圈 b	空心圆圈里一个小写字母 b
24D2	带圈 c	空心圆圈里一个小写字母 c，不是版权符号
24D3	带圈 d	空心圆圈里一个小写字母 d
24D4	带圈 e	空心圆圈里一个小写字母 e
24D5	带圈 f	空心圆圈里一个小写字母 f
24D6	带圈 g	空心圆圈里一个小写字母 g
24D7	带圈 h	空心圆圈里一个小写字母 h
24D8	带圈 i	空心圆圈里一个小写字母 i，常见于信息提示图标
24D9	带圈 j	空心圆圈里一个小写字母 j
24DA	带圈 k	空心圆圈里一个小写字母 k
24DB	带圈 l	空心圆圈里一个小写字母 l，不是数字 1
24DC	带圈 m	空心圆圈里一个小写字母 m
24DD	带圈 n	空心圆圈里一个小写字母 n
24DE	带圈 o	空心圆圈里一个小写字母 o，不是数字 0
24DF	带圈 p	空心圆圈里一个小写字母 p，不是录音制品版权符号
24E0	带圈 q	空心圆圈里一个小写字母 q
24E1	带圈 r	空心圆圈里一个小写字母 r，不是注册商标符号
24E2	带圈 s	空心圆圈里一个小写字母 s
24E3	带圈 t	空心圆圈里一个小写字母 t
24E4	带圈 u	空心圆圈里一个小写字母 u
24E5	带圈 v	空心圆圈里一个小写字母 v
24E6	带圈 w	空心圆圈里一个小写字母 w
24E7	带圈 x	空心圆圈里一个小写字母 x
24E8	带圈 y	空心圆圈里一个小写字母 y
24E9	带圈 z	空心圆圈里一个小写字母 z
24EA	带圈 0	空心圆圈里一个数字 0
24EB	实心圈 11	黑色实心圆里挖出白色数字 11
24EC	实心圈 12	黑色实心圆里挖出白色数字 12
24ED	实心圈 13	黑色实心圆里挖出白色数字 13
24EE	实心圈 14	黑色实心圆里挖出白色数字 14
24EF	实心圈 15	黑色实心圆里挖出白色数字 15
24F0	实心圈 16	黑色实心圆里挖出白色数字 16
24F1	实心圈 17	黑色实心圆里挖出白色数字 17
24F2	实心圈 18	黑色实心圆里挖出白色数字 18
24F3	实心圈 19	黑色实心圆里挖出白色数字 19
24F4	实心圈 20	黑色实心圆里挖出白色数字 20
24F5	双圈 1	两层同心圆圈里一个数字 1
24F6	双圈 2	两层同心圆圈里一个数字 2
24F7	双圈 3	两层同心圆圈里一个数字 3
24F8	双圈 4	两层同心圆圈里一个数字 4
24F9	双圈 5	两层同心圆圈里一个数字 5
24FA	双圈 6	两层同心圆圈里一个数字 6
24FB	双圈 7	两层同心圆圈里一个数字 7
24FC	双圈 8	两层同心圆圈里一个数字 8
24FD	双圈 9	两层同心圆圈里一个数字 9
24FE	双圈 10	两层同心圆圈里一个数字 10
24FF	实心圈 0	黑色实心圆里挖出白色数字 0
