# 制表符与框线（U+2500–U+257F）。用 Opus 5 重写：
# 上一版把对角线 ╱ 和半线 ╵ 都读成了「竖线」，这一轮按字形分清线段、拐角、丁字、端头。
# 格式：码位 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同）
2500	横线	细的整条横线，画表格的横边
251F	左丁字	竖线在左，下半粗上半细，向右伸出细横
2520	左丁字	竖线在左且粗，向右伸出的横细
2521	左丁字	竖线在左，上半粗下半细，向右伸出粗横
2522	左丁字	竖线在左，下半粗上半细，向右伸出粗横
2523	粗左丁字	竖线在左，竖线和向右伸出的横都粗
2524	右丁字	细线丁字，整条竖线在右，向左伸出一横
2525	右丁字	竖线在右且细，向左伸出的横粗
2526	右丁字	竖线在右，上半粗下半细，向左伸出细横
2527	右丁字	竖线在右，下半粗上半细，向左伸出细横
2528	右丁字	竖线在右且粗，向左伸出的横细
2529	右丁字	竖线在右，上半粗下半细，向左伸出粗横
252A	右丁字	竖线在右，下半粗上半细，向左伸出粗横
252B	粗右丁字	竖线在右，竖线和向左伸出的横都粗
252C	上丁字	细线丁字，整条横线在上，向下伸出一竖
252D	上丁字	横线在上，左半粗右半细，向下伸出细竖
252E	上丁字	横线在上，右半粗左半细，向下伸出细竖
252F	上丁字	横线在上且粗，向下伸出的竖细
2530	上丁字	横线在上且细，向下伸出的竖粗
2531	上丁字	横线在上，左半粗右半细，向下伸出粗竖
2532	上丁字	横线在上，右半粗左半细，向下伸出粗竖
2533	粗上丁字	横线在上，横线和向下伸出的竖都粗
2534	下丁字	细线丁字，整条横线在下，向上伸出一竖
2535	下丁字	横线在下，左半粗右半细，向上伸出细竖
2536	下丁字	横线在下，右半粗左半细，向上伸出细竖
2537	下丁字	横线在下且粗，向上伸出的竖细
2538	下丁字	横线在下且细，向上伸出的竖粗
2539	下丁字	横线在下，左半粗右半细，向上伸出粗竖
253A	下丁字	横线在下，右半粗左半细，向上伸出粗竖
253B	粗下丁字	横线在下，横线和向上伸出的竖都粗
253C	十字	细线十字，横线竖线在中间交叉，表格的四路交点
253D	十字	十字交叉，只有向左的半横粗，另外三边细
253E	十字	十字交叉，只有向右的半横粗，另外三边细
253F	十字	十字交叉，整条横线粗，竖线细
2540	十字	四向交叉的制表线，只有向上的一臂粗，其余三臂细
2541	十字	四向交叉的制表线，只有向下的一臂粗，其余三臂细
2542	十字	四向交叉的制表线，上下的竖线粗，左右的横线细
2543	十字	四向交叉的制表线，左臂和上臂粗，右臂和下臂细
2544	十字	四向交叉的制表线，右臂和上臂粗，左臂和下臂细
2545	十字	四向交叉的制表线，左臂和下臂粗，右臂和上臂细
2546	十字	四向交叉的制表线，右臂和下臂粗，左臂和上臂细
2547	十字	四向交叉的制表线，只有向下的一臂细，其余三臂粗
2548	十字	四向交叉的制表线，只有向上的一臂细，其余三臂粗
2549	十字	四向交叉的制表线，只有向右的一臂细，其余三臂粗
254A	十字	四向交叉的制表线，只有向左的一臂细，其余三臂粗
254B	粗十字	四臂全是粗线的交叉制表线
254C	横向虚线	细横线断成两段的虚线
254D	粗横向虚线	粗横线断成两段的虚线
254E	竖向虚线	细竖线断成两段的虚线
254F	粗竖向虚线	粗竖线断成两段的虚线
2550	双横线	两条平行细横线并排，画双线表格的横边
2551	双竖线	两条平行细竖线并排，画双线表格的竖边
2552	左上角	表格左上角，向右的横臂是双线，向下的竖臂是单线
2553	左上角	表格左上角，向右的横臂是单线，向下的竖臂是双线
2554	双线左上角	表格左上角，横臂和竖臂都是双线
2555	右上角	表格右上角，向左的横臂是双线，向下的竖臂是单线
2556	右上角	表格右上角，向左的横臂是单线，向下的竖臂是双线
2557	双线右上角	表格右上角，横臂和竖臂都是双线
2558	左下角	表格左下角，向右的横臂是双线，向上的竖臂是单线
2559	左下角	表格左下角，向右的横臂是单线，向上的竖臂是双线
255A	双线左下角	表格左下角，横臂和竖臂都是双线
255B	右下角	表格右下角，向左的横臂是双线，向上的竖臂是单线
255C	右下角	表格右下角，向左的横臂是单线，向上的竖臂是双线
255D	双线右下角	表格右下角，横臂和竖臂都是双线
255E	左丁字	竖线在左，向右分出一条横臂，竖线是单线，横臂是双线
255F	左丁字	竖线在左，向右分出一条横臂，竖线是双线，横臂是单线
2560	双线左丁字	竖线在左，向右分出一条横臂，竖线和横臂都是双线
2561	右丁字	竖线在右，向左分出一条横臂，竖线是单线，横臂是双线
2562	右丁字	竖线在右，向左分出一条横臂，竖线是双线，横臂是单线
2563	双线右丁字	竖线在右，向左分出一条横臂，竖线和横臂都是双线
2564	上丁字	横线在上，向下分出一条竖臂，横线是双线，竖臂是单线
2565	上丁字	横线在上，向下分出一条竖臂，横线是单线，竖臂是双线
2566	双线上丁字	横线在上，向下分出一条竖臂，横线和竖臂都是双线
2567	下丁字	横线在下，向上分出一条竖臂，横线是双线，竖臂是单线
2568	下丁字	横线在下，向上分出一条竖臂，横线是单线，竖臂是双线
2569	双线下丁字	横线在下，向上分出一条竖臂，横线和竖臂都是双线
256A	十字	四向交叉的制表线，左右的横线是双线，上下的竖线是单线
256B	十字	四向交叉的制表线，上下的竖线是双线，左右的横线是单线
256C	双线十字	四向交叉的制表线，横线和竖线都是双线
256D	圆角左上角	细线圆弧拐角，一头向下一头向右，用来画圆角方框的左上角
256E	圆角右上角	细线圆弧拐角，一头向下一头向左，用来画圆角方框的右上角
256F	圆角右下角	细线圆弧拐角，一头向上一头向左，用来画圆角方框的右下角
2570	圆角左下角	细线圆弧拐角，一头向上一头向右，用来画圆角方框的左下角
2571	右斜线	从左下角斜着通到右上角的细直线，不是竖线
2572	左斜线	从左上角斜着通到右下角的细直线，不是竖线
2573	交叉斜线	两条对角斜线交叉成叉形，不是横竖相交的十字
2574	左半横线	从格子中心只向左伸出的半条细横线
2575	上半竖线	从格子中心只向上伸出的半条细竖线
2576	右半横线	从格子中心只向右伸出的半条细横线
2577	下半竖线	从格子中心只向下伸出的半条细竖线
2578	粗左半横线	从格子中心只向左伸出的半条粗横线
2579	粗上半竖线	从格子中心只向上伸出的半条粗竖线
257A	粗右半横线	从格子中心只向右伸出的半条粗横线
257B	粗下半竖线	从格子中心只向下伸出的半条粗竖线
257C	左细右粗横线	一条完整横线，左半段细，右半段粗
257D	上细下粗竖线	一条完整竖线，上半段细，下半段粗
257E	左粗右细横线	一条完整横线，左半段粗，右半段细
257F	上粗下细竖线	一条完整竖线，上半段粗，下半段细
