# 物理化学与希腊字母。用 Opus 5 逐块重写，单位名以国标中文单位为准。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00B2 207A	二价正	上标 2 正	# SUPERSCRIPT TWO + SUPERSCRIPT PLUS SIGN
00B2 207B	二价负	上标 2 负	# SUPERSCRIPT TWO + SUPERSCRIPT MINUS
00B3 207A	三价正	上标 3 正	# SUPERSCRIPT THREE + SUPERSCRIPT PLUS SIGN
00B3 207B	三价负	上标 3 负	# SUPERSCRIPT THREE + SUPERSCRIPT MINUS
00B5 41	微安
00B5 46	微法
00B5 4C	微升
00B5 56	微伏
00B5 57	微瓦
00B5 67	微克
00B5 6D	微米
00B5 6D 6F 6C	微摩尔
00B5 73	微秒
00B9 207A	一价正	上标 1 正	# SUPERSCRIPT ONE + SUPERSCRIPT PLUS SIGN
00B9 207B	一价负	上标 1 负	# SUPERSCRIPT ONE + SUPERSCRIPT MINUS
039D	纽	大写纽，两竖当中一道斜杠
039E	克西	大写克西，三道横杠叠着
039F	奥米克戎	大写奥米克戎，一个圆圈
03A0	派	大写派，两竖顶上加一横，数学里常表连乘
03A1	柔	大写希腊字母柔，字形与拉丁大写 P 相同
03A3	西格马	大写西格马，上下两横中间收成朝左的尖角，数学里常表求和
03A4	陶	大写希腊字母陶，字形与拉丁大写 T 相同
03A5	宇普西龙	大写宇普西龙，一竖上头分成两叉
03A6	斐	大写斐，一竖穿过一个圆，物理里常表磁通量
03A7	希	大写希腊字母希，字形是斜十字，与拉丁大写 X 同形
03A8	普西	大写普西，一竖上头分三股，形如三叉戟
03A9	欧米伽	大写欧米伽，上头圆下头开口两脚外撇，也当电阻单位欧姆用	?after_quantity=欧姆
03B1	阿尔法	小写阿尔法，常表角度、显著性水平或阿尔法粒子
03B2	贝塔	小写贝塔，常表角度、回归系数或贝塔粒子
03B3	伽马	小写伽马，常表伽马射线或洛伦兹因子
03B4	德尔塔	小写德尔塔，常表微小的变化量
03B5	艾普西龙	小写艾普西龙，常表任意小的正数或介电常数
03B6	泽塔	小写泽塔，常表阻尼比，也见于泽塔函数
03B7	伊塔	小写伊塔，常表效率或黏度
03B8	西塔	小写西塔，常表角度
03B9	约塔	小写约塔，形体最小的希腊字母，常借指极小的量
03BA	卡帕	小写卡帕，常表曲率或导热系数
03BB	兰姆达	小写希腊字母，物理中表示波长，数学中表示特征值
03BC	缪	小写希腊字母，用作百万分之一的词头，物理中也表示摩擦系数	?before_latin=微
03BC 41	微安
03BC 46	微法
03BC 4C	微升
03BC 56	微伏
03BC 57	微瓦
03BC 67	微克
03BC 6D	微米
03BC 6D 6F 6C	微摩尔
03BC 73	微秒
03BD	纽	小写希腊字母，字形底部带尖角，物理中表示频率或中微子
03BE	克西	小写希腊字母，字形三道弯带下垂尾，概率论里常用来表示随机变量
03BF	奥米克戎	小写希腊字母，字形就是一个圆圈，因为容易和零混淆数理中很少用
03C0	派	小写希腊字母，数学中代表圆周率
03C1	柔	小写希腊字母柔，物理里表示密度或电阻率
03C2	词尾西格马	西格马用在单词末尾时的专门写法，字形带一条下垂的尾巴
03C3	西格马	小写希腊字母，用在词首和词中，统计里表示标准差
03C4	陶	小写希腊字母陶，常表时间常数或切应力
03C5	宇普西龙	小写希腊字母，字形底部是圆的，容易和纽以及艾普西龙相混
03C6	斐	小写希腊字母，字形是圆圈中间一竖，数学中表示黄金分割比或角度
03C7	希	小写希腊字母希，统计里的卡方检验用的就是它
03C8	普西	小写希腊字母，字形像三叉戟，量子力学中表示波函数
03C9	欧米伽	小写希腊字母，排在希腊字母表最后，物理中表示角速度
03CF	希腊和号	希腊语里表示和的连词缩写，用法相当于和号，这是大写体
03D0	贝塔变体	小写贝塔的另一种字形，笔画圆头不带长竖尾，与常规贝塔是同一个字母
03D1	西塔变体	小写西塔的手写体字形，形似一道带弯钩的曲线，数理中常与常规西塔分指不同的量
03D2	宇普西龙变体	大写宇普西龙的带钩字形，顶端多出一个小钩，与常规大写宇普西龙是同一个字母
03D5	斐变体	小写斐的直杆字形，圆圈中间一竖上下出头，与常规手写体的斐常分指不同的量
03D6	派变体	小写派的花体字形，形似头顶加了一横的欧米伽
03D7	希腊和号	希腊语里表示和的连词缩写，这是通行的小写体，比大写体常见得多
03D8	古体希腊字母科帕	早期希腊已经废弃的字母，字形是圆圈中间一竖到底，这是大写体
03D9	古体希腊字母科帕	早期希腊已经废弃的字母，圆圈带一竖的古老写法，这是小写体
03DA	希腊字母斯提格马	西格马和套的连写，在希腊数字里表示六，这是大写体
03DB	希腊字母斯提格马	西格马和套的连写，在希腊数字里表示六，这是小写体
03DC	希腊字母狄伽马	已经废弃的古希腊字母，名字意思是双伽马，代表瓦音，这是大写体
03DD	希腊字母狄伽马	已经废弃的古希腊字母，代表瓦音，在希腊数字里表示六，这是小写体
03DE	希腊字母科帕	希腊数字里表示九十的字母，字形像闪电折线，这是大写体
03DF	希腊字母科帕	希腊数字里表示九十的字母，折线形的小写体
03E0	希腊字母桑皮	已经废弃的希腊字母，在希腊数字里表示九百，这是大写体
03E1	希腊字母桑皮	已经废弃的希腊字母，在希腊数字里表示九百，这是小写体
03E2	科普特字母舍伊	源自古埃及世俗体的科普特字母，读音是诗字的声母，这是大写体
03E3	科普特字母舍伊	源自古埃及世俗体的科普特字母，读音是诗字的声母，这是小写体
03E4	科普特字母菲	源自古埃及世俗体的科普特字母，读音是夫字的声母，这是大写体
03E5	科普特字母菲	源自古埃及世俗体的科普特字母，读音是夫字的声母，这是小写体
03E6	科普特字母凯	源自古埃及世俗体的科普特字母，读音是送气的喉音，这是大写体
03E7	科普特字母凯	源自古埃及世俗体的科普特字母，读音是送气的喉音，这是小写体
03E8	科普特字母霍里	源自古埃及世俗体的科普特字母，读音是喝字的声母，这是大写体
03E9	科普特字母霍里	源自古埃及世俗体的科普特字母，读音是喝字的声母，这是小写体
03EA	科普特字母甘吉亚	源自古埃及世俗体的科普特字母，读音是吉字的声母，这是大写体
03EB	科普特字母甘吉亚	源自古埃及世俗体的科普特字母，读音是吉字的声母，这是小写体
03EC	科普特字母希马	源自古埃及世俗体的科普特字母，读音是痴字的声母，这是大写体
03ED	科普特字母希马	源自古埃及世俗体的科普特字母，读音是痴字的声母，这是小写体
03EE	科普特字母德伊	源自古埃及世俗体的科普特字母，整个字母读作梯，这是大写体
03EF	科普特字母德伊	源自古埃及世俗体的科普特字母，整个字母读作梯，这是小写体
03F0	卡帕变体	小写卡帕的花体字形，笔画圆转，不带直立的竖笔
03F1	肉变体	小写肉的花体字形，竖尾向左弯出一个小钩
03F2	西格马变体	小写西格马的月牙形写法，形似开口朝右的半圆，区别于常规西格马和词尾西格马
03F3	希腊字母约特	转写外来语时才用的希腊字母，读作衣的短音，字形借自拉丁文
03F4	大写西塔变体	大写西塔的另一种字形，数理排版中用来与常规大写西塔分指不同的量
03F5	艾普西龙变体	小写艾普西龙的月牙形写法，形似中间加了一横的半圆
03F6	反写月牙艾普西龙	艾普西龙月牙形写法的左右翻转，开口朝左
03F7	希腊字母绍	为巴克特里亚语增造的希腊字母，读音是诗字的声母，这是大写体
03F8	希腊字母绍	为巴克特里亚语增造的希腊字母，读音是诗字的声母，这是小写体
03F9	大写西格马变体	大写西格马的月牙形写法，形似一个开口朝右的大半圆
03FA	希腊字母桑	古希腊已经废弃的字母，和西格马一样发丝音，字形是折线，这是大写体
03FB	希腊字母桑	古希腊已经废弃的字母，和西格马一样发丝音，这是小写体
03FC	带杠的柔	小写的柔在下伸的笔画上加一道横杠，是柔的变体写法
03FD	反写月牙西格马	西格马月牙形写法的左右翻转，开口朝左，这是大写体
03FE	带点月牙西格马	月牙形的西格马当中加一个点，开口朝右，这是大写体
03FF	反写带点西格马	月牙形的西格马左右翻转再加一个点，开口朝左，这是大写体
2074 207A	四价正	上标 4 正	# SUPERSCRIPT FOUR + SUPERSCRIPT PLUS SIGN
2074 207B	四价负	上标 4 负	# SUPERSCRIPT FOUR + SUPERSCRIPT MINUS
212A	开尔文	温度单位开尔文的专用记号，与拉丁大写 K 同形
3300	公寓	日语中的小型出租公寓
3301	阿尔法	希腊字母阿尔法
3302	安培	电流单位
3303	公亩	面积单位，一公亩合一百平方米
3304	局	棒球等比赛的局数单位
3305	英寸	长度单位
3306	韩元	朝鲜半岛的货币单位
3307	埃斯库多	葡萄牙旧货币单位
3308	英亩	面积单位
3309	盎司	重量单位
330A	欧姆	电阻单位
330B	海里	长度单位，一海里合一千八百五十二米
330C	克拉	宝石重量单位，一克拉零点二克
330D	卡路里	热量单位卡
330E	加仑	容量单位
330F	伽马	希腊字母伽马
3310	吉	表示十亿倍的单位词头，如吉赫、吉字节
3311	几尼	英国旧金币单位，合二十一先令
3312	居里	放射性活度单位
3313	荷兰盾	荷兰旧货币单位
3314	千	表示一千倍的单位词头，日语中也单指千米
3315	千克
3316	千米
3317	千瓦	功率单位
3318	克
3319	公吨	公制的吨，合一千千克，区别于英吨
331A	克鲁塞罗	巴西旧货币单位
331B	克朗	丹麦、挪威等北欧国家的货币
331C	箱	按箱计数的单位，也指箱盒
331D	克朗	捷克的货币单位
331E	公寓	日语公寓楼名常用词，多为中型集合住宅
331F	周	频率单位，每秒周数，赫兹的旧称
3320	生丁	法国等国旧辅币，一百生丁合一法郎
3321	先令	英国旧辅币，也是奥地利、肯尼亚等国货币
3322	厘米	长度单位，日语中也用作词头厘
3323	分	货币辅币单位，如美分、欧分
3324	打	计数单位，一打等于十二个
3325	分	表示十分之一的单位词头，如分米、分升
3326	美元	泛指美元、加元等以元为名的货币
3327	吨
3328	纳	表示十亿分之一的单位词头，如纳米、纳秒
3329	节	航速单位，一节即每小时一海里
332A	公寓	日语公寓楼名常用词，取高地之意
332B	百分比
332C	零件	日语外来语，指部件、零部件
332D	桶	容量单位，石油等按桶计量
332E	皮阿斯特	埃及、土耳其等国的辅币单位
332F	担	旧时重量单位，一担合一百斤
3330	皮	表示万亿分之一的单位词头，如皮法、皮秒
3331	大厦	日语指高楼、办公楼
3332	法拉	电容单位
3333	英尺	长度单位，一英尺合十二英寸
3334	蒲式耳	谷物等干量单位
3335	法郎	法国、瑞士等国货币
3336	公顷	面积单位，一公顷合一万平方米
3337	比索	墨西哥、菲律宾等国货币
3338	芬尼	德国旧辅币，一百芬尼合一马克
3339	赫兹	频率单位，每秒一周
333A	便士	英国辅币，一百便士合一英镑
333B	页	书刊页数单位
333C	贝塔	希腊字母贝塔
333D	点	计点单位，如印刷字号、比分点数
333E	伏特	电压单位
333F	方	响度单位，衡量声音的主观响度
3340	磅	重量单位磅，约零点四五公斤，日文里也指英镑
3341	大厅	日文外来词挤成一格，指厅堂会场，也用来数高尔夫球洞
3342	响度单位方	响度级的单位，用一千赫兹纯音的分贝数来标定
3343	微	单位词头微，一百万分之一，像微秒微安里的微，不是微米
3344	英里	长度单位英里，约一点六公里
3345	马赫	速度单位马赫，一马赫就是一倍音速
3346	马克	货币马克，主要指德国马克，欧元之前用
3347	公寓	日文里指钢筋水泥的公寓楼，不是中文说的豪宅
3348	微米	长度单位，一百万分之一米，旧称密克隆
3349	毫米	长度单位毫米，日文里常挤成这一格，本义是词头毫
334A	毫巴	气压单位毫巴，等于一百帕，旧天气预报常用
334B	兆	单位词头兆，一百万，像兆赫兆瓦里的兆
334C	兆吨	一百万吨，多用来说核爆炸的当量
334D	米	长度单位米，国际单位制的基本长度
334E	码	英制长度单位，一码等于三英尺，约零点九一四米
334F	码	码的日文别名，布料行业这么叫，长度和英制码一样
3350	元	中国货币元，日文按英语读音写成外来语
3351	升	容积单位升，等于一立方分米
3352	里拉	货币里拉，意大利用到欧元之前，土耳其现在还在用
3353	卢比	货币卢比，印度、巴基斯坦等国用
3354	卢布	俄罗斯货币卢布
3355	雷姆	辐射剂量当量单位，一百雷姆等于一希沃特
3356	伦琴	照射量单位伦琴，衡量射线在空气里的电离本领
3357	瓦特	功率单位瓦特，每秒做一焦耳的功
3358	零时	电报时刻符号，方块里写着零时，一天的开头
3359	一时	电报时刻符号，方块里写着一时，也就是凌晨一点
335A	二时	电报时刻符号，方块里写着二时，也就是凌晨两点
335B	三时	电报时刻符号，方块里写着三时，也就是凌晨三点
335C	四时	电报时刻符号，方块里写着四时，也就是凌晨四点
335D	五时	电报时刻符号，方块里写着五时，也就是清晨五点
335E	六时	电报时刻符号，方块里写着六时，也就是早上六点
335F	七时	电报时刻符号，方块里写着七时，也就是早上七点
3360	八时	电报时刻符号，方块里写着八时，也就是上午八点
3361	九时	电报时刻符号，方块里写着九时，也就是上午九点
3362	十时	电报时刻符号，方块里写着十时，也就是上午十点
3363	十一时	电报时刻符号，方块里写着十一时，也就是上午十一点
3364	十二时	电报时刻符号，方块里写着十二时，也就是中午十二点
3365	十三时	电报时刻符号，方块里写着十三时，也就是下午一点
3366	十四时	电报时刻符号，方块里写着十四时，也就是下午两点
3367	十五时	电报时刻符号，方块里写着十五时，也就是下午三点
3368	十六时	电报时刻符号，方块里写着十六时，也就是下午四点
3369	十七时	电报时刻符号，方块里写着十七时，也就是下午五点
336A	十八时	电报时刻符号，方块里写着十八时，也就是傍晚六点
336B	十九时	电报时刻符号，方块里写着十九时，也就是晚上七点
336C	二十时	电报时刻符号，方块里写着二十时，也就是晚上八点
336D	二十一时	电报时刻符号，方块里写着二十一时，也就是晚上九点
336E	二十二时	电报时刻符号，方块里写着二十二时，也就是晚上十点
336F	二十三时	电报时刻符号，方块里写着二十三时，也就是深夜十一点
3370	二十四时	电报时刻符号，方块里写着二十四时，一天的末尾，午夜十二点
3371	百帕	气压单位，一百帕斯卡，天气预报报气压用
3372	十倍词头	国际单位制词头，把单位放大十倍
3373	天文单位	天文距离单位，地球到太阳的平均距离，约一亿五千万公里
3374	巴	压强单位巴，等于十万帕，接近一个大气压
3375	基础体温单位	量基础体温的刻度，摄氏三十五点五度到三十八度分成五十等份，一份零点零五度
3376	秒差距	天文距离单位，约三点二六光年
3377	分米	长度单位分米，十分之一米
3378	平方分米	面积单位，边长一分米的正方形
3379	立方分米	体积单位，棱长一分米的正方体，等于一升
337A	国际单位	药品和维生素的效价单位，按生物效力算，不按重量
337B	平成	日本年号平成，一九八九年到二零一九年
337C	昭和	日本年号昭和，一九二六年到一九八九年
337D	大正	日本年号大正，一九一二年到一九二六年
337E	明治	日本年号明治，一八六八年到一九一二年
337F	株式会社	日本公司名里的股份有限公司，四个字挤成一格
3380	皮安	电流单位，一万亿分之一安培
3381	纳安	电流单位，十亿分之一安培
3382	微安	电流单位，一百万分之一安培
3383	毫安	电流单位，千分之一安培，电池容量常用
3384	千安	电流单位，一千安培
3385	千字节	数据量单位，一千个字节，计算机里常按一千零二十四计
3386	兆字节	数据量单位，一百万字节，约一千个千字节
3387	吉字节	数据量单位，十亿字节，约一千个兆字节
3388	卡路里	热量单位，一克水升高一摄氏度所需的热量，读全称免得听成卡片的卡
3389	千卡	热量单位，一千卡路里，食品标签上说的大卡
338A	皮法	电容单位，一万亿分之一法拉
338B	纳法	电容单位，十亿分之一法拉
338C	微法	电容单位，一百万分之一法拉
338D	微克	质量单位，一百万分之一克
338E	毫克	质量单位，千分之一克
338F	千克	质量单位，也就是一公斤，国际单位制基本单位
3390	赫兹	频率单位，每秒振动一次
3391	千赫	频率单位，一千赫兹
3392	兆赫	频率单位，一百万赫兹，调频广播常用
3393	吉赫	频率单位，十亿赫兹，处理器主频常用
3394	太赫	频率单位，一万亿赫兹
3395	微升	体积单位，一百万分之一升
3396	毫升	体积单位，千分之一升，等于一立方厘米
3397	分升	体积单位，十分之一升
3398	千升	体积单位，一千升，等于一立方米
3399	飞米	长度单位，千万亿分之一米，原子核那个尺度
339A	纳米	长度单位，十亿分之一米
339B	微米	长度单位，一百万分之一米
339C	毫米	长度单位，千分之一米
339D	厘米	长度单位，百分之一米
339E	千米	长度单位，一千米，也就是一公里
339F	平方毫米	面积单位，边长一毫米的正方形
33A0	平方厘米	面积单位，边长一厘米的正方形
33A1	平方米	面积单位，边长一米的正方形
33A2	平方千米	面积单位，边长一千米的正方形
33A3	立方毫米	体积单位，棱长一毫米的正方体
33A4	立方厘米	体积单位，棱长一厘米的正方体，等于一毫升
33A5	立方米	体积单位，棱长一米的正方体
33A6	立方千米	体积单位，棱长一千米的正方体
33A7	米每秒	速度单位，每秒走一米
33A8	米每二次方秒	加速度单位，每秒钟速度增加一米每秒
33A9	帕	压强单位帕斯卡，一牛顿的力压在一平方米上
33AA	千帕	压强单位，一千帕斯卡
33AB	兆帕	压强单位，一百万帕斯卡
33AC	吉帕	压强单位，十亿帕斯卡
33AD	弧度	角的单位，半径那么长的一段弧所对的圆心角
33AE	弧度每秒	角速度单位，每秒转过一弧度
33AF	弧度每二次方秒	角加速度单位，每秒钟角速度增加一弧度每秒
33B0	皮秒	时间单位，一万亿分之一秒
33B1	纳秒	时间单位，十亿分之一秒
33B2	微秒	时间单位，一百万分之一秒
33B3	毫秒	时间单位，千分之一秒
33B4	皮伏	电压单位，一万亿分之一伏特
33B5	纳伏	电压单位，十亿分之一伏特
33B6	微伏	电压单位，一百万分之一伏特
33B7	毫伏	电压单位，千分之一伏特，字形是小写，别和兆伏弄混
33B8	千伏	电压单位，一千伏特，高压输电常用
33B9	兆伏	电压单位，一百万伏特，字形用大写，和毫伏只差大小写
33BA	皮瓦	功率单位，一万亿分之一瓦特
33BB	纳瓦	功率单位，十亿分之一瓦特
33BC	微瓦	功率单位，一百万分之一瓦特
33BD	毫瓦	功率单位，千分之一瓦特，字形是小写，别和兆瓦弄混
33BE	千瓦	功率单位，一千瓦特，家用电器功率常用
33BF	兆瓦	功率单位，一百万瓦特，字形用大写，和毫瓦只差大小写
33C0	千欧	电阻单位，一千欧姆
33C1	兆欧	电阻单位，一百万欧姆，也就是一千千欧
33C2	上午	时刻缩写的方块形，午夜到正午
33C3	贝可	放射性活度单位，贝可勒尔的简称，每秒衰变一次
33C4	毫升	容积单位，字形是立方厘米，一立方厘米就是一毫升
33C5	坎德拉	发光强度的国际基本单位
33C6	库仑每千克	照射量单位，衡量射线在空气里产生的电离
33C7	公司	商号后面表示公司的缩写方块形
33C8	分贝	声音强弱和信号增益的对数单位
33C9	戈瑞	辐射吸收剂量单位，每千克物质吸收一焦耳
33CA	公顷	面积单位，一万平方米，合十五亩
33CB	马力	功率单位，一马力约七百四十六瓦
33CC	英寸	长度单位，约二点五四厘米
33CD	株式会社	日本股份公司的缩写方块形，相当于中文的股份有限公司
33CE	千米	长度单位，公里的大写字母方块写法
33CF	节	航海速度单位，一节等于每小时一海里
33D0	流明	光通量单位，衡量光源发出的光总量
33D1	自然对数	以自然常数为底的对数
33D2	对数	数学里的对数函数，不指定底数，区别于自然对数
33D3	勒克斯	光照度单位，每平方米一流明
33D4	毫巴	气压单位，一毫巴等于一百帕斯卡，气象上常用
33D5	密耳	长度单位，千分之一英寸，约零点零二五毫米
33D6	摩尔	物质的量的国际基本单位
33D7	酸碱度	化学里衡量溶液酸碱性的数值，七为中性
33D8	下午	时刻缩写的方块形，正午到午夜
33D9	百万分率	浓度单位，百万分之一，水质和气体检测常用
33DA	公关	商务缩写的方块形，指公共关系、对外宣传
33DB	球面度	立体角单位，与平面角的弧度相对应
33DC	希沃特	辐射剂量当量单位，衡量辐射对人体的伤害
33DD	韦伯	磁通量单位
33DE	伏每米	电场强度单位
33DF	安每米	磁场强度单位
33E0	一日	电报纪日用字，指当月一号
33E1	二日	电报纪日用字，指当月二号
33E2	三日	电报纪日用字，指当月三号
33E3	四日	电报纪日用字，指当月四号
33E4	五日	电报纪日用字，指当月五号
33E5	六日	电报纪日用字，指当月六号
33E6	七日	电报纪日用字，指当月七号
33E7	八日	电报纪日用字，指当月八号
33E8	九日	电报纪日用字，指当月九号
33E9	十日	电报纪日用字，指当月十号
33EA	十一日	电报纪日用字，指当月十一号
33EB	十二日	电报纪日用字，指当月十二号
33EC	十三日	电报纪日用字，指当月十三号
33ED	十四日	电报纪日用字，指当月十四号
33EE	十五日	电报纪日用字，指当月十五号
33EF	十六日	电报纪日用字，指当月十六号
33F0	十七日	电报纪日用字，指当月十七号
33F1	十八日	电报纪日用字，指当月十八号
33F2	十九日	电报纪日用字，指当月十九号
33F3	二十日	电报纪日用字，指当月二十号
33F4	二十一日	电报纪日用字，指当月二十一号
33F5	二十二日	电报纪日用字，指当月二十二号
33F6	二十三日	电报纪日用字，指当月二十三号
33F7	二十四日	电报纪日用字，指当月二十四号
33F8	二十五日	电报纪日用字，指当月二十五号
33F9	二十六日	电报纪日用字，指当月二十六号
33FA	二十七日	电报纪日用字，指当月二十七号
33FB	二十八日	电报纪日用字，指当月二十八号
33FC	二十九日	电报纪日用字，指当月二十九号
33FD	三十日	电报纪日用字，指当月三十号
33FE	三十一日	电报纪日用字，指当月三十一号
33FF	伽	加速度单位，一伽等于一厘米每二次方秒，地震学常用
A700	阴平调	汉语传统调类标注，标平声的阴调
A701	阳平调	汉语传统调类标注，标平声的阳调
A702	阴上调	汉语传统调类标注，标上声的阴调
A703	阳上调	汉语传统调类标注，标上声的阳调
A704	阴去调	汉语传统调类标注，标去声的阴调
A705	阳去调	汉语传统调类标注，标去声的阳调
A706	阴入调	汉语传统调类标注，标入声的阴调
A707	阳入调	汉语传统调类标注，标入声的阳调
A708	超高平调	调值线的带点写法，标最高的平调
A709	高平调	调值线的带点写法，标偏高的平调
A70A	中平调	调值线的带点写法，标居中的平调
A70B	低平调	调值线的带点写法，标偏低的平调
A70C	超低平调	调值线的带点写法，标最低的平调
A70D	超高平调	竖笔在左的调值线，带点写法，标最高的平调
A70E	高平调	竖笔在左的调值线，带点写法，标偏高的平调
A70F	中平调	竖笔在左的调值线，带点写法，标居中的平调
A710	低平调	竖笔在左的调值线，带点写法，标偏低的平调
A711	超低平调	竖笔在左的调值线，带点写法，标最低的平调
A712	超高平调	竖笔在左的调值线，标最高的平调
A713	高平调	竖笔在左的调值线，标偏高的平调
A714	中平调	竖笔在左的调值线，标居中的平调
A715	低平调	竖笔在左的调值线，标偏低的平调
A716	超低平调	竖笔在左的调值线，标最低的平调
A717	圆点带竖线	声调修饰字母，圆点后带一条竖线
A718	圆点带斜线	声调修饰字母，圆点后带一条斜线
A719	圆点带横线	声调修饰字母，圆点后带一条横线
A71A	右下直角	声调修饰字母，形如右下方的直角拐角
A71B	音高升高	上标的向上箭头，标音高提高，即升阶
A71C	音高降低	上标的向下箭头，标音高下降，即降阶
A71D	上标感叹号	声调修饰字母，写成上标的感叹号
A71E	上标倒感叹号	声调修饰字母，上标的倒感叹号，圆点在上
A71F	低位倒感叹号	倒感叹号写在低位，与上标的那个相对
