# 其他符号：技术、几何、装饰、标点、带圈 CJK 等。用 Opus 5 逐块重写。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00A1	倒感叹号	上下颠倒的感叹号，西班牙语感叹句开头用
2319	倒否定号	逻辑否定号上下翻转，竖钩朝上
231C	左上角	直角形的角标，框出左上角，也用作转角引号
231D	右上角	直角形的角标，框出右上角，也用作转角引号
231E	左下角	直角形的角标，框出左下角，也用作转角引号
231F	右下角	直角形的角标，框出右下角，也用作转角引号
2320	上半积分	积分号的上半截，和下半截拼成跨多行的大积分号
2321	下半积分	积分号的下半截，和上半截拼成跨多行的大积分号
2322	上弧	向上拱起的短弧，和下弧配对使用
2323	下弧	向下凹陷的短弧，和上弧配对使用
2324	回车键	向上的尖角夹在上下两条横线之间，键盘上的回车键
2325	选项键	苹果键盘上的选项修饰键，字形是折线上加一横
2326	向右删除	尖头朝右的方框里画个叉，删掉光标右边的字
2327	取消键	方框里画一个叉，键盘上的取消键
2328	键盘	电脑键盘外形，排列着成行的方键
2329	左尖括号	尖角形的左括号，和中文单书名号左半同形，已弃用
232A	右尖括号	尖角形的右括号，和中文单书名号右半同形，已弃用
232B	退格	尖头朝左的方框里画个叉，删掉光标左边的字
232C	苯环	正六边形里画一个圆，化学结构式里的苯环
232D	圆柱度	机械图上的形位公差记法，圆配两条斜线
232E	全周轮廓度	机械图上的形位公差记法，表示轮廓要求沿整周有效
232F	对称度	机械图上的形位公差记法，标注两侧对称
2330	全跳动	机械图上的形位公差记法，两支斜箭头
2331	尺寸起点	机械制图里标注尺寸的基准起点
2332	锥度	机械制图里标注圆锥的锥度，字形是横放的等腰三角
2333	斜度	机械制图里标注斜度，字形是横放的直角三角
2334	沉孔	机械制图里标注圆柱形沉孔，字形是开口朝上的方括号
2335	埋头孔	机械制图里标注锥形埋头孔，字形是开口朝上的角
2336	工字形	上下两条横中间一竖的工字形，编程语言里的运算符
2337	方框套方框	大方框中央嵌一个小方框，编程语言里的运算符
2338	方框等号	方框中央嵌一个等号，编程语言里的运算符
2339	方框除号	方框中央嵌一个除号，编程语言里的运算符
233A	方框菱形	方框中央嵌一个菱形，编程语言里的运算符
233B	方框小圈	方框中央嵌一个小圆点圈，编程语言里的运算符
233C	方框圆圈	方框中央嵌一个大圆圈，编程语言里的运算符
233D	圆圈加竖线	圆圈中央竖着一条线，编程语言里的运算符
233E	圆圈套小圈	大圆圈中央嵌一个小圆圈，编程语言里的运算符
233F	带杠斜杠	正斜线中间横穿一小横，编程语言里的运算符
2340	带杠反斜杠	反斜线中间横穿一小横，编程语言里的运算符
2341	方框斜杠	方框中央嵌一条正斜线，编程语言里的运算符
2342	方框反斜杠	方框中央嵌一条反斜线，编程语言里的运算符
2343	方框小于号	方框中央嵌一个小于号，编程语言里的运算符
2344	方框大于号	方框中央嵌一个大于号，编程语言里的运算符
2345	向左半箭头	只画一半的箭头形，尖端朝左，编程语言里的运算符
2346	向右半箭头	只画一半的箭头形，尖端朝右，编程语言里的运算符
2347	方框左箭头	方框中央嵌一个向左的箭头，编程语言里的运算符
2348	方框右箭头	方框中央嵌一个向右的箭头，编程语言里的运算符
2349	圆圈反斜线	圆圈中央画一条反斜线，编程语言里的运算符
234A	丁字加底横	一横下面接一竖的丁字形，底下再添一条横线，编程语言里的运算符
234B	三角加竖线	三角形中间竖着一条线，编程语言里的运算符
234C	方框下尖角	方框中央嵌一个尖端朝下的角，编程语言里的运算符
234D	方框三角形	方框中央嵌一个三角形，编程语言里的运算符
234E	丁字加小圈	一横下面接一竖的丁字形，旁边配一个小圆圈，编程语言里的运算符
234F	向上半箭头	只画一半的箭头形，尖端朝上，编程语言里的运算符
2350	方框上箭头	方框中央嵌一个向上的箭头，编程语言里的运算符
2351	倒丁字加顶横	一竖立在一横上的倒丁字形，上面再加一条横线，编程语言里的运算符
2352	倒三角带竖线	尖角朝下的空心三角形，正中竖穿一道直线
2353	方框里的上尖角	空心方框中间嵌一个尖端朝上的折角
2354	方框里的倒三角	空心方框中间嵌一个尖角朝下的三角形
2355	丁字形加小圆	丁字形和一个小圆圈叠在一起
2356	朝下的箭头尖	只有箭头的尖，没有箭杆，尖端朝下
2357	方框里的下箭头	空心方框中间嵌一支朝下的箭头
2358	带下划线单引号	一个单引号，下面加一道短横线
2359	带下划线三角形	尖角朝上的空心三角形，下面加一道横线
235A	带下划线菱形	空心菱形，下面加一道横线
235B	带下划线小圆圈	一个很小的圆圈，下面加一道横线
235C	带下划线圆圈	正常大小的空心圆，下面加一道横线
235D	拱形加小圆圈	开口朝下的拱形，旁边带一个小圆圈
235E	方框带引号	空心方框中间叠着一个引号
235F	圆圈里的星号	空心圆圈中间套一个星号
2360	方框里的冒号	空心方框中间嵌一个冒号
2361	丁字形加两点	丁字形上面点着两个圆点
2362	倒三角加两点	尖角朝下的三角形，上面点着两个圆点
2363	星号加两点	一个星号，上面点着两个圆点
2364	小圆圈加两点	一个小圆圈，上面点着两个圆点
2365	圆圈加两点	正常大小的空心圆，上面点着两个圆点
2366	杯形加竖线	开口朝上的杯形弧，中间竖一道直线
2367	半圆里加竖线	开口朝右的半圆，中间竖一道直线
2368	波浪号加两点	一条波浪线，上面点着两个圆点
2369	大于号加两点	一个大于号，上面点着两个圆点
236A	逗号加横线	一个逗号，上面压一道横线
236B	倒三角加波浪	尖角朝下的三角形，配一条波浪线
236C	横线穿过的圆圈	一个零的字形，中间横叠一条波浪线
236D	竖线加波浪	一道竖线，配上一条波浪线
236E	带下划线分号	一个分号，下面加一道横线
236F	方框里的不等号	空心方框中间嵌一个不等号
2370	方框里的问号	空心方框中间嵌一个问号
2371	朝下尖角加波浪	尖端朝下的折角，配一条波浪线
2372	朝上尖角加波浪	尖端朝上的折角，配一条波浪线
2373	希腊字母约塔	字形取自希腊小写字母约塔
2374	希腊字母柔	字形取自希腊小写字母柔
2375	希腊字母欧米伽	字形取自希腊小写字母欧米伽
2376	带下划线阿尔法	希腊小写字母阿尔法，下面加一道横线
2377	带下划线艾普西龙	希腊小写字母艾普西龙，下面加一道横线
2378	带下划线约塔	希腊小写字母约塔，下面加一道横线
2379	带下划线欧米伽	希腊小写字母欧米伽，下面加一道横线
237A	希腊字母阿尔法	字形取自希腊小写字母阿尔法
237B	划掉的对勾	一个对勾，被一道斜线划断
237C	直角带折线箭头	一个直角，下面挂着一条曲折向下的箭头
237D	开口朝上的方框	方框没有上边，两侧顶端各向外伸出一小截
237E	响铃	一个小铃铛的字形，表示提示音
237F	竖线中间带点	一道竖线，正中间点着一个圆点
2380	插入符	编辑文本时用来标出插入的位置
2381	连续下划线	编辑时表示整段连着划下划线
2382	断续下划线	编辑时表示下划线分段断开
2383	强调	编辑时表示这一段要加重强调
2384	组合键	键盘上的编排键，先按它再依次敲几个键，组合出特殊字符
2385	方框中间带竖线	空心正方形，正中一道竖线
2386	回车键	键盘上的回车，按下表示确认或换行
2387	交替键	键盘上要和别的键配合着按的交替键
2388	舵轮	船舵的形状，有些键盘拿它表示控制键
2389	圆圈里带缺口横线	空心圆里一道横线，横线中间有个缺口
238A	圆圈里的倒三角	空心圆里嵌一个尖角朝下的三角形
238B	退出键	断开的圆圈带一支朝左上的箭头，键盘上的退出键
238C	撤销	表示撤销上一步操作
238D	单稳态	电子电路里的单稳态，字形是一个方形脉冲
238E	迟滞	电子电路里的迟滞，字形像一个斜置的闭合回环
238F	高电平开路输出	电路图里表示高电平的开路输出端
2390	低电平开路输出	电路图里表示低电平的开路输出端
2391	无源下拉输出	电路图里表示带下拉的被动输出端
2392	无源上拉输出	电路图里表示带上拉的被动输出端
2393	直流电	电器上表示直流，上面一道实线，下面一道虚线
2394	软件功能	空心六边形，在图里表示软件功能
2395	空心方框	四条边一样长的空心方块，常和别的字形叠加使用
2396	小数点键	键盘上输入小数点的按键
2397	上一页	翻到上一页的按键
2398	下一页	翻到下一页的按键
2399	截屏键	键盘上抓取当前屏幕画面的按键
239A	清屏	表示清空屏幕上的内容
239B	左括号上半	拼大号左括号用的上端弯钩
239C	左括号中段	拼大号左括号用的中间竖直延长段
239D	左括号下半	拼大号左括号用的下端弯钩
239E	右括号上半	拼大号右括号用的上端弯钩
239F	右括号中段	拼大号右括号用的中间竖直延长段
23A0	右括号下半	拼大号右括号用的下端弯钩
23A1	左方括号上角	拼大号左方括号用的上端直角
23A2	左方括号中段	拼接高方括号左半边用的竖线段，上下都不带拐角
23A3	左方括号下角	高方括号左半边最下面那截，竖线底端向右折出一小横
23A4	右方括号上角	高方括号右半边最上面那截，竖线顶端向左折出一小横
23A5	右方括号中段	拼接高方括号右半边用的竖线段，上下都不带拐角
23A6	右方括号下角	高方括号右半边最下面那截，竖线底端向左折出一小横
23A7	左大括号上钩	大括号左半边最上面那截，末端向上收成钩
23A8	左大括号中段	大括号左半边正中那截，向左突出一个尖
23A9	左大括号下钩	大括号左半边最下面那截，末端向下收成钩
23AA	大括号竖线段	大括号左右两边通用的竖线，用来把括号拉长
23AB	右大括号上钩	大括号右半边最上面那截，末端向上收成钩
23AC	右大括号中段	大括号右半边正中那截，向右突出一个尖
23AD	右大括号下钩	大括号右半边最下面那截，末端向下收成钩
23AE	积分号延长段	拼在积分号中间，把积分号上下拉长用的一截
23AF	横线延长段	一小截横线，接在长横线或长箭头中间把它加长
23B0	大括号左上弯段	大括号拆出的半截弯，上端朝左下端朝右，可作左上角或右下角
23B1	大括号右上弯段	大括号拆出的半截弯，上端朝右下端朝左，可作右上角或左下角
23B2	求和号上段	求和号拆成上下两截以后的上半截
23B3	求和号下段	求和号拆成上下两截以后的下半截
23B4	上方括号	横跨在多个字符上方的方括号，两端朝下折
23B5	下方括号	横跨在多个字符下方的方括号，两端朝上折
23B6	方括号上下相叠	下方括号在上、上方括号在下，两截叠成工字形
23B7	根号下角	根号左下那一撇，和横线拼起来组成加高的根号
23B8	左竖框线	贴着字格左沿的竖线，终端画框用
23B9	右竖框线	贴着字格右沿的竖线，终端画框用
23BA	最上横线	终端字格里位置最高的一条横扫描线，贴着上沿
23BB	偏上横线	终端字格里靠上的一条横扫描线，比最上那条略低
23BC	偏下横线	终端字格里靠下的一条横扫描线，比最下那条略高
23BD	最下横线	终端字格里位置最低的一条横扫描线，贴着下沿
23BE	牙科竖线右上角	牙科记录用，一条竖线顶端向右伸出一横
23BF	牙科竖线右下角	牙科记录用，一条竖线底端向右伸出一横
23C0	牙科竖线带圈	牙科记录用，一条竖线中间套着一个圆圈
23C1	牙科丁字带圈	牙科记录用，横线中间向下伸一竖成丁字形，中间套圆圈
23C2	牙科倒丁带圈	牙科记录用，横线中间向上竖起一竖成倒丁字形，中间套圆圈
23C3	牙科竖线带三角	牙科记录用，一条竖线中间穿过一个三角
23C4	牙科丁字带三角	牙科记录用，丁字形的那一竖上加一个三角
23C5	牙科倒丁带三角	牙科记录用，倒丁字形的那一竖上加一个三角
23C6	牙科竖线带波纹	牙科记录用，一条竖线中间穿过一段波浪
23C7	牙科丁字带波纹	牙科记录用，丁字形的那一竖上加一段波浪
23C8	牙科倒丁带波纹	牙科记录用，倒丁字形的那一竖上加一段波浪
23C9	牙科丁字线	牙科记录用，横线中间向下伸出一竖，不带别的装饰
23CA	牙科倒丁字线	牙科记录用，横线中间向上竖起一竖，不带别的装饰
23CB	牙科竖线左上角	牙科记录用，一条竖线顶端向左伸出一横
23CC	牙科竖线左下角	牙科记录用，一条竖线底端向左伸出一横
23CD	平方英尺	面积单位平方英尺，字形是一个方框带一小截脚
23CE	回车	键盘回车键上那个折返箭头，表示换行
23CF	弹出	一个朝上的实心三角，下方垫一条横杠，播放器上用来退出光盘或外接设备
23D0	竖线延长段	一小截竖线，接在长竖线或竖箭头中间把它加长
23D1	短音节	古典诗律里表示一个短音节，字形是个浅碗
23D2	上长下短	古典诗律里长音节的横线在上，短音节的碗在下
23D3	上短下长	古典诗律里短音节的碗在上，长音节的横线在下
23D4	上长下双短	古典诗律里一条长音节横线，下面并排两个短音节的碗
23D5	上双短下长	古典诗律里两个短音节的碗并排在上，长音节横线在下
23D6	两短音节连写	古典诗律里两个短音节的碗连成一笔
23D7	三拍音节	古典诗律里时长等于三个短音节的音节
23D8	四拍音节	古典诗律里时长等于四个短音节的音节
23D9	五拍音节	古典诗律里时长等于五个短音节的音节
23DA	接地	电路图里的接地端，一竖下面三条逐渐变短的横线
23DB	保险丝	电路图里的熔断器，一条横线中间穿过一个长方框
23DC	上括号	横跨在多个字符上方的圆括号，两端朝下弯
23DD	下括号	横跨在多个字符下方的圆括号，两端朝上弯
23DE	上花括号	横跨在多个字符上方的大括号，中间朝上凸出一个尖
23DF	下花括号	横跨在多个字符下方的大括号，中间朝下凸出一个尖
23E0	上龟壳括号	横跨在多个字符上方的龟甲括号，两端带斜折角
23E1	下龟壳括号	横跨在多个字符下方的龟甲括号，两端带斜折角
23E2	空心梯形	上边短下边长的四边形，只有轮廓不填色
23E3	苯环	化学结构式里的苯环，六边形中间画一个圆
23E4	直线度	机械制图的形位公差，要求棱线或轴线保持平直
23E5	平面度	机械制图的形位公差，要求表面平整，字形是个平行四边形
23E6	交流电	电气图上表示交流的一段波浪线
23E7	电路交叉	电气图上标示两条导线交叉的画法
23E8	乘十的幂	科学记数法专用，写在尾数和指数中间，等于乘十的若干次方
23ED	下一首	两个朝右的实心三角，右边加一条竖杠，跳到下一段
23EE	上一首	两个朝左的实心三角，左边加一条竖杠，跳回上一段
23EF	播放暂停	一个朝右的实心三角，右边并着两条竖杠，在播放和暂停之间切换
23F1	秒表	圆形表盘顶端带按钮，掐时间用
23F2	定时器	圆形表盘顶端带旋钮，倒着数时间用
23F4	实心左三角	尖朝左的实心三角，大小居中，界面里常做后退或上一个
23F5	实心右三角	尖朝右的实心三角，大小居中，界面里常做播放或下一个
23F6	实心上三角	尖朝上的实心三角，大小居中，界面里常做向上翻或调高
23F7	实心下三角	尖朝下的实心三角，大小居中，界面里常做向下翻或调低
23F8	暂停	两条并排的竖杠
23F9	停止	一个黑色实心方块，播放器上的停止键
23FA	录制	一个黑色实心圆点，录音录像的开始键
23FB	电源	电源键上的圆圈加一竖，按它开机或关机
23FC	电源开关	圆圈中间一竖贯穿，表示同一个键在开和关之间切换
23FD	电源开	一根竖线，电源开关上表示接通的那一档
23FE	睡眠	月牙形，表示设备进入睡眠待机
23FF	观察者眼睛	技术图上标出观察者眼睛所在的位置，字形是只简化的眼
2400	空字符	控制码的可见图形，代表编码为零的那个空字符
2401	标头开始	控制码的可见图形，老式通信里标记一段报文头部的起点
2402	正文开始	控制码的可见图形，标记报文正文从这里开始
2403	正文结束	控制码的可见图形，标记报文正文到此为止，与正文开始配对
2404	传输结束	控制码的可见图形，表示整次发送全部完成
2405	请求应答	控制码的可见图形，发送方问对方在不在、能不能收
2406	确认收到	控制码的可见图形，接收方回过来的肯定答复
2407	响铃	控制码的可见图形，让终端发出一声提示音
2408	退格	控制码的可见图形，光标往回退一格
2409	横向制表	控制码的可见图形，光标跳到下一个横向制表位
240A	换行	控制码的可见图形，光标下移一行但不回到行首，常与回车搭配
240B	纵向制表	控制码的可见图形，光标跳到下一个纵向制表位
240C	换页	控制码的可见图形，打印时走到下一页开头
240D	回车	控制码的可见图形，光标回到本行开头
240E	字符集移出	控制码的可见图形，后面的文字改用备用字符集
240F	字符集移入	控制码的可见图形，后面的文字改回原来的字符集
2410	数据链转义	控制码的可见图形，提示后面紧跟的几个字节改作控制用途
2411	设备控制一	控制码的可见图形，四个设备控制码里的头一个，终端上用来恢复输出
2412	设备控制二	控制码的可见图形，四个设备控制码里的第二个，含义由设备自己定
2413	设备控制三	控制码的可见图形，四个设备控制码里的第三个，终端上用来暂停输出
2414	设备控制四	控制码的可见图形，四个设备控制码里的第四个，常用来停掉设备
2415	否定应答	控制码的可见图形，接收方回过来的出错答复，要求重发
2416	同步空闲	控制码的可见图形，没有数据要发时用来维持两端同步
2417	块传输结束	控制码的可见图形，标记一个数据块发完，整次传输还没结束
2418	取消	控制码的可见图形，宣布前面刚发出的内容作废
2419	介质结束	控制码的可见图形，标记磁带纸带这类介质上有用的部分到此为止
241A	替换字符	控制码的可见图形，用来顶掉一个读不出来的坏字符
241B	转义	控制码的可见图形，起头引出一串终端控制序列
241C	文件分隔	控制码的可见图形，四层分隔码里最大的一层，隔开两份文件
241D	组分隔	控制码的可见图形，四层分隔码里的第二层，隔开两组记录
241E	记录分隔	控制码的可见图形，四层分隔码里的第三层，隔开两条记录
241F	单元分隔	控制码的可见图形，四层分隔码里最小的一层，隔开一条记录里的两个字段
2420	空格	控制码的可见图形，把一个空格画出来，本身并不是真的空格
2421	删除字符	控制码的可见图形，代表编码表最末尾那个删除码
2422	空白	另一种标出空格位置的画法，区别于顶上开口的空格方框
2423	空格方框	顶上开口的小方框，在代码和排版里把一个空格显示出来
2424	换行	控制码的可见图形，泛指换到新的一行，不细分下移还是回首
2425	删除字符	删除码的另一种画法，含义和前面那个删除字符一样，只是字形换了一种
2426	替换字符	替换码的另一种画法，含义和前面那个替换字符一样，只是字形换了一种
2440	光学识别钩	光学字符识别字体里的专用图形，字形是一道小钩
2441	光学识别椅	光学字符识别字体里的专用图形，字形像一把简笔椅子
2442	光学识别叉	光学字符识别字体里的专用图形，一竖到顶分成两支
2443	光学识别倒叉	分叉朝下的那一个，与前一个上下颠倒
2444	光学识别带扣	光学字符识别字体里的专用图形，字形像一个皮带扣
2445	光学识别领结	光学字符识别字体里的专用图形，两个三角尖对尖
2446	支票银行代码符	印在支票底部机器识别行里，圈出银行分行代码那一段
2447	支票金额符	印在支票底部机器识别行里，圈出金额那一段
2448	支票分隔符	印在支票底部机器识别行里的一道短横，隔开前后两段数字
2449	支票账号符	印在支票底部机器识别行里，圈出客户账号那一段
244A	双反斜线	光学字符识别字体里的两道反斜线，不是键盘上的反斜杠连打
25A0	实心方块	整块涂黑的正方形，比小实心方块大一号
25A1	空心方块	只有一圈边框的正方形，中间是空的
25A2	圆角方块	四个角磨圆的空心正方形
25A3	方块套小方块	空心方块正中嵌一个小的实心方块
25A4	横纹方块	内部填满一道道横线的方块
25A5	竖纹方块	内部填满一道道竖线的方块
25A6	格纹方块	内部横线竖线交叉成方格的方块
25A7	斜纹方块	内部填满斜线，斜线从左上通向右下
25A8	斜纹方块	内部填满斜线，斜线从右上通向左下
25A9	交叉斜纹方块	两个方向的斜线交叉，把内部织成菱形格
25AA	小实心方块	涂黑的小正方形，比实心方块小一号
25AB	小空心方块	只有一圈边框的小正方形
25AC	实心矩形	涂黑的横向长方形
25AD	空心矩形	只有一圈边框的横向长方形
25AE	实心竖矩形	涂黑的竖立长方形
25AF	空心竖矩形	只有一圈边框的竖立长方形
25B0	实心平行四边形	涂黑的斜四边形，对边平行
25B1	空心平行四边形	只有边框的斜四边形，对边平行
25B2	实心三角	涂黑的大号三角，尖角朝上
25B3	空心三角	只有边框的大号三角，尖角朝上
25B4	实心上三角	涂黑的小号三角，尖角朝上
25B5	空心上三角	只有边框的小号三角，尖角朝上
25B6	实心右三角	涂黑的大号三角，尖角朝右，播放按钮常用它
25B7	空心右三角	只有边框的大号三角，尖角朝右
25B8	实心右三角	涂黑的小号三角，尖角朝右
25B9	空心右三角	只有边框的小号三角，尖角朝右
25BA	实心右指针	涂黑的指针形三角，尖端朝右，比三角扁宽
25BB	空心右指针	只有边框的指针形三角，尖端朝右
25BC	实心下三角	涂黑的大号三角，尖角朝下
25BD	空心下三角	只有边框的大号三角，尖角朝下
25BE	实心下三角	涂黑的小号三角，尖角朝下
25BF	空心下三角	只有边框的小号三角，尖角朝下
25C0	实心左三角	涂黑的大号三角，尖角朝左
25C1	空心左三角	只有边框的大号三角，尖角朝左
25C2	实心左三角	涂黑的小号三角，尖角朝左
25C3	空心左三角	只有边框的小号三角，尖角朝左
25C4	实心左指针	涂黑的指针形三角，尖端朝左，比三角扁宽
25C5	空心左指针	只有边框的指针形三角，尖端朝左
25C6	实心菱形	涂黑的正菱形，四条边一样长
25C7	空心菱形	只有边框的正菱形
25C8	菱形嵌套	空心菱形正中嵌一个小的实心菱形
25C9	鱼眼	外面一圈粗圆环，正中一个实心圆点
