# 数学符号。用 Opus 5 逐块重写，覆盖到 Unicode 各数学块的全部已分配码位。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
2022	圆点		# BULLET
2030	千分之		# PER MILLE SIGN
2031	万分之		# PER TEN THOUSAND SIGN
2032	分		# PRIME	?after_latin=导数
2033	秒		# DOUBLE PRIME	?after_latin=二阶导数
2034	三分		# TRIPLE PRIME
2044	分数线		# FRACTION SLASH
2070	上标 0	上标的零，写在右上角表示零次方，也用作脚注序号
2092	下标 o	拉丁小写字母 o 的下标形式，注意它不是下标的零
2093	下标 x	拉丁小写字母 x 的下标形式，常用来标方向或分量
2094	下标央元音	国际音标里央元音的下标形式，字形像倒过来的小写字母 e，用于语音标注
2095	下标 h	拉丁小写字母 h 的下标形式，写在变量右下角当角标
2096	下标 k	拉丁小写字母 k 的下标形式，数学里常做序号角标
2097	下标 l	拉丁小写字母 l 的下标形式，字形是一竖，容易和下标的一听混
2098	下标 m	拉丁小写字母 m 的下标形式，写在变量右下角当角标
2099	下标 n	拉丁小写字母 n 的下标形式，常用来标第几项
209A	下标 p	拉丁小写字母 p 的下标形式，物理里常见于质子质量这类角标
209B	下标 s	拉丁小写字母 s 的下标形式，写在变量右下角当角标
209C	下标 t	拉丁小写字母 t 的下标形式，常用来标和时间有关的量
20D0	上加左半箭头	前一个字符上方加一条朝左的半边箭头，箭钩朝上，数学里也叫左鱼叉
20D1	上加右半箭头	前一个字符上方加一条朝右的半边箭头，箭钩朝上，数学里也叫右鱼叉
20D2	叠加长竖线	一条长竖线从前一个字符正中直穿下来，上下都出头
20D3	叠加短竖线	一小段竖线压在前一个字符中间，两端都不出头
20D4	上加逆时针箭头	字符上方一条逆时针方向的弯箭头
20D5	上加顺时针箭头	字符上方一条顺时针方向的弯箭头
20D6	上加左箭头	字符上方一条朝左的完整箭头，方向与表示向量的右箭头相反
20D7	矢量	字符上方加一条朝右的箭头，数学和物理里表示向量
20D8	叠加圆圈	一个圆圈压在字符正中间，和把整个字圈起来的外框圆圈不一样
20D9	叠加顺时针圆环	一个圆圈压在字符正中，标出顺时针的转向
20DA	叠加逆时针圆环	一个圆圈压在字符正中，标出逆时针的转向
20DB	上加三点	字符正上方并排三个点，牛顿记法里表示对时间求三阶导数
20DC	上加四点	字符正上方并排四个点，比三点多一个，牛顿记法里表示四阶导数
20DD	外加圆圈	把前一个字符整个圈进圆里，带圈的字用的就是它
20DE	外加方框	把前一个字符整个框进一个正方形里
20DF	外加菱形框	把前一个字符框进菱形里，也就是立起来的方框
20E0	外加禁止圈	圈住前一个字符，再从左上到右下划一道斜线，表示禁止
20E1	上加双向箭头	字符上方一条两端都带尖的箭头，几何里常用来标一条直线
20E2	外加显示屏框	把字符框进一个像显示屏轮廓的框里
20E3	外加按键框	把字符框成键盘按键的样子，手机上的数字键帽就是这么拼出来的
20E4	外加朝上三角框	把字符框进一个尖朝上的三角形里
20E5	叠加反斜杠	一条从左上划到右下的斜线压在字符上，方向和正斜杠相反
20E6	叠加双竖线	两条平行竖线一起压在字符正中，比单竖线多一条
20E7	年金符号	精算记号，字符上方一横、右端向下折成直角，标在年金的期数上
20E8	下加三点	字符正下方并排三个点，位置与上方那组三点相反
20E9	上加宽桥形	字符上方一条两端向下折的宽横线，形状像一座桥
20EA	叠加左箭头	一条朝左的箭头横穿字符正中，不是浮在上方
20EB	叠加双斜杠	两条平行的长斜线一起斜穿字符，比单斜线多一条
20EC	上加倒钩右半箭头	朝右的半边箭头加在字符上方，箭钩朝下，和钩朝上的那个成对
20ED	上加倒钩左半箭头	朝左的半边箭头加在字符上方，箭钩朝下，和钩朝上的那个成对
20EE	下加左箭头	朝左的箭头加在字符正下方，与加在上方的左箭头位置相反
20EF	下加右箭头	朝右的箭头加在字符正下方，与加在上方的右箭头位置相反
20F0	上加星号	字符正上方一个小星号，不是写在右上角的上标星
2100	账目缩写	商业书写里的斜线连写缩写，意思是账目
2101	致本人缩写	商业书写里的斜线连写缩写，意思是呈交本人，字形和账目缩写相仿
2102	复数集	双线体大写 C，表示全体复数构成的集合
2103	摄氏度	温度单位，把度和摄氏挤进一个字位的合体写法
2104	中心线	工程制图里标注对称中心的记号
2105	转交	写在邮件地址中间，表示信件由这个人或单位代转
2106	每件	西班牙语商业书写里表示每一个的缩写连写
2107	欧拉常数	开口大写 E 的形状，数学中记欧拉常数的旧写法
2108	药剂重量单位	旧时药房称量药物的单位，中文叫吩，二十格令为一吩，约合一点三克
2109	华氏度	温度单位，把度和华氏挤进一个字位的合体写法
210A	花体 g	小写 g 的花体写法
210B	花体 H	大写 H 的花体，常表示希尔伯特空间或哈密顿量
210C	哥特体 H	德文尖角体写法的大写 H
210D	四元数集	双线体大写 H，表示全体四元数构成的集合，取自哈密顿
210E	普朗克常数	斜体小写 h，量子力学中的普朗克常数，不带横杠
210F	约化普朗克常数	带横杠的小写 h，普朗克常数除以二倍圆周率，也叫狄拉克常数
2110	花体 I	大写 I 的花体写法
2111	虚部	哥特体大写 I，取复数的虚部
2112	花体 L	大写 L 的花体，常表示拉普拉斯变换或拉格朗日量
2113	升	花体小写 l，容量单位升的手写体，数学里也用作长度或线的变量
2114	磅	重量单位磅的旧式合体写法，缩写上面加一道横线
2115	自然数集	双线体大写 N，表示全体自然数构成的集合
2116	号	写在编号前面，相当于中文的第几号
2117	录音版权	圆圈里一个字母，标在唱片和录音制品上，表示录音的版权
2118	椭圆函数	花体大写字母的写法，数学里记魏尔斯特拉斯椭圆函数，也有人用来表示幂集
2119	素数集	双线体大写 P，表示全体素数构成的集合，概率论里也用来表示概率
211A	有理数集	双线体大写 Q，表示全体有理数构成的集合
211B	花体 R	大写 R 的花体写法，不是表示实数集的双线体 R
211C	实部	哥特体大写 R，取复数的实部
211D	实数集	双线体大写 R，表示全体实数构成的集合
211E	处方	写在药方开头，意思是请取用下列药物
211F	应答	礼拜经文里标示会众应答的一句，和领唱句成对出现
2120	服务商标	标在服务名称右上角，多用于尚未注册的服务商标
2121	电话	合体写法，印在名片和广告上，放在电话号码前面
2122	商标	标在商品名称右上角，多用于尚未注册的商标
2123	领唱句	礼拜经文里标示神职人员领读的一句，和应答成对出现
2124	整数集	双线体大写 Z，表示全体整数构成的集合
2125	盎司	旧时药房和金银称重用的盎司，字形是一个连写的合体
2126	欧姆		# OHM SIGN
2127	姆欧	电导单位，字形是欧姆记号上下翻转，名字也是欧姆倒过来念，现在通用西门子
2128	哥特体 Z	德文尖角体写法的大写 Z
2129	倒写约塔	希腊小写字母约塔上下翻转，逻辑学里用来引出摹状词
212B	埃		# ANGSTROM SIGN
212C	花体 B	大写 B 的花体写法
212D	哥特体 C	德文尖角体写法的大写 C
212E	净含量估值	印在预包装商品上，表示标注的净含量是抽样平均值，符合欧洲计量规定
212F	花体 e	小写 e 的花体，可表示自然指数的底或误差项
2130	花体 E	大写 E 的花体，物理中可表示电动势
2131	花体 F	大写 F 的花体，常表示傅里叶变换
2132	倒写大写字母	一道竖笔在右、两道横笔朝左伸出，是拉丁大写字母上下翻转的写法，和后面那个倒写小写字母配成一对
2133	花体 M	大写 M 的花体，常表示梅林变换
2134	花体 o	小写 o 的花体，用作小 o 记号，表示更低阶的无穷小
2135	阿列夫	希伯来字母表的第一个，集合论里表示无穷基数的大小
2136	贝特	希伯来字母表的第二个，集合论里表示一族越来越大的无穷基数
2137	吉梅尔	希伯来字母表的第三个，集合论里用在基数的幂运算上
2138	达列特	希伯来字母表的第四个，集合论里偶尔用来记无穷基数
2139	信息	斜体小写 i 的信息标记，界面里指向说明或帮助
213A	带尾圆圈	大写字母转了方向的写法，一个圆圈的上方带一道短尾巴
213B	传真	合体写法，印在名片和信笺上，放在传真号码前面
213C	双线体小写派	双线写法的希腊字母小写派
213D	双线体小写伽马	双线写法的希腊字母小写伽马
213E	双线体大写伽马	双线写法的希腊字母大写伽马
213F	双线体大写派	双线写法的希腊字母大写派
2140	双线求和	求和记号的双线空心写法，含义和普通求和一样
2141	倒写大写字母	无衬线的大写字母转了半圈，字形是一段圆弧开口朝下、中间伸出一道短横
2142	右上直角	无衬线大写字母转半圈的写法，横笔在上、竖笔在右，拐角在右上
2143	右下直角	无衬线大写字母左右翻转的写法，竖笔在右、横笔在底，拐角在右下
2144	倒丫字形	无衬线大写字母上下翻转，像一个倒过来的丫字，分叉朝下
2145	微分算子	双线体斜体大写 D，微积分中的微分算子
2146	微分号	双线体斜体小写 d，积分和导数里的微分记号
2147	自然对数底	双线体斜体小写 e，指数函数的底，约等于二点七一八
2148	虚数单位	双线体斜体小写 i，平方等于负一
2149	虚数单位	双线体斜体小写 j，工程里改用 j 写的虚数单位，与 i 同义
214A	地界线	测绘图和地籍图上标出地产边界的记号
214B	倒写和号	表示和的连写记号上下翻过来，线性逻辑里用来表示并行的那种析取
214C	每	商业书写里表示每的连写记号，比如每打、每箱
214D	股份公司	北欧商业书写里股份公司的缩写连写，相当于公司名后的有限公司
214E	倒写小写字母	拉丁小写字母上下翻转的写法，和前面那个倒写大写字母配成一对
214F	撒玛利亚本	圣经校勘里标注撒玛利亚五经这个版本来源的记号
2150	七分之一
2151	九分之一
2152	十分之一
2153	三分之一
2154	三分之二
2155	五分之一
2156	五分之二
2157	五分之三
2158	五分之四
2159	六分之一
215A	六分之五
215B	八分之一
215C	八分之三
215D	八分之五
215E	八分之七
215F	分子一	分数的分子一，后面接上分母，组成几分之一
2160	罗马数字一	大写罗马数字一
2161	罗马数字二	大写罗马数字二
2162	罗马数字三	大写罗马数字三
2163	罗马数字四	大写罗马数字四
2164	罗马数字五	大写罗马数字五
2165	罗马数字六	大写罗马数字六
2166	罗马数字七	大写罗马数字七
2167	罗马数字八	大写罗马数字八
2168	罗马数字九	大写罗马数字九
2169	罗马数字十	大写罗马数字十
216A	罗马数字十一	大写罗马数字十一
216B	罗马数字十二	大写罗马数字十二
216C	罗马数字五十	大写罗马数字五十
216D	罗马数字一百	大写罗马数字一百
216E	罗马数字五百	大写罗马数字五百
216F	罗马数字一千	大写罗马数字一千
2170	罗马数字一	小写罗马数字一
2171	罗马数字二	小写罗马数字二
2172	罗马数字三	小写罗马数字三
2173	罗马数字四	小写罗马数字四
2174	罗马数字五	小写罗马数字五
2175	罗马数字六	小写罗马数字六
2176	罗马数字七	小写罗马数字七
2177	罗马数字八	小写罗马数字八
2178	罗马数字九	小写罗马数字九
2179	罗马数字十	小写罗马数字十
217A	罗马数字十一	小写罗马数字十一
217B	罗马数字十二	小写罗马数字十二
217C	罗马数字五十	小写罗马数字五十
217D	罗马数字一百	小写罗马数字一百
217E	罗马数字五百	小写罗马数字五百
217F	罗马数字一千	小写罗马数字一千
2180	罗马数字一千	古体罗马数字一千，字形像圆圈中间加一竖
2181	罗马数字五千	古体罗马数字，等于五千
2182	罗马数字一万	古体罗马数字，等于一万
2183	反写罗马数字一百	大写的反写形，和正写的一百配对，用来拼出更大的罗马数字
2184	反写的小写字母	小写的反写拉丁字母，开口朝左，罗马数字里和大写反写形配对使用
2185	罗马数字六	罗马数字六的晚期写法
2186	罗马数字五十	罗马数字五十的早期写法
2187	罗马数字五万	古体罗马数字，等于五万
2188	罗马数字十万	古体罗马数字，等于十万
2189	三分之零	分数字符，分子是零，整体值为零
218A	十二进制的十	上下颠倒的数字二，十二进制里表示十
218B	十二进制的十一	上下颠倒的数字三，十二进制里表示十一
2190	左箭头
2191	上箭头		?after_formula=气体
2192	右箭头	数学里也表示趋向或推出
2193	下箭头		?after_formula=沉淀
2194	双向箭头	一条横线两端都有箭头尖
2195	上下箭头	一条竖线两端都有箭头尖
2196	左上箭头
2197	右上箭头
2198	右下箭头
2199	左下箭头
219A	左箭头加斜杠	左箭头身上划一道斜杠，表示这个方向不成立
219B	右箭头加斜杠	右箭头身上划一道斜杠，逻辑里读作推不出
219C	左波浪箭头	箭身是波浪线，箭头尖朝左
219D	右波浪箭头	箭身是波浪线，箭头尖朝右
219E	双头左箭头	一根箭身，左端叠着两个箭头尖
219F	双头上箭头	一根箭身，上端叠着两个箭头尖
21A0	双头右箭头	一根箭身，右端叠着两个箭头尖
21A1	双头下箭头	一根箭身，下端叠着两个箭头尖
21A2	带尾左箭头	箭尾拖一道钩，箭头尖朝左
21A3	带尾右箭头	箭尾拖一道钩，数学里表示单射
21A4	左箭头带竖线	右端一道竖线，箭头由竖线出发朝左，映射箭头的左向写法
21A5	上箭头带底线	箭身底端加一道横线，箭头朝上
21A6	映射	左端一道竖线，箭头朝右，数学里读作映射到
21A7	下箭头带顶线	箭身顶端加一道横线，箭头朝下
21A8	上下箭头带底线	竖线两端都有箭头尖，底下还托一道横线
21A9	带钩左箭头	末端向下弯钩的向左箭头，界面里常表示返回或回复
21AA	带钩右箭头	末端向下弯钩的向右箭头，数学里表示单射嵌入
21AB	带环左箭头	箭身上打一个小圆环，箭头尖朝左
21AC	带环右箭头	箭身上打一个小圆环，箭头尖朝右
21AD	双向波浪箭头	波浪线两端都有箭头尖
21AE	双向箭头加斜杠	双向箭头中间划一道斜杠，表示两边都不成立
21AF	折线下箭头	箭身呈闪电形折线，箭头朝下
21B0	上箭头折向左	先往上走再折向左，箭头尖朝左
21B1	上箭头折向右	先往上走再折向右，箭头尖朝右
21B2	下箭头折向左	先往下走再折向左，箭头尖朝左
21B3	下箭头折向右	先往下走再折向右，常见于列表里指向下一级
21B4	右箭头折向下	先往右走再折向下，箭头尖朝下
21B5	回车箭头	先往下走再折向左，编辑器里表示换行
21B6	逆时针半圆箭头	上方半圈弧线，箭头逆时针朝左，常表示撤销
21B7	顺时针半圆箭头	上方半圈弧线，箭头顺时针朝右，常表示重做
21B8	左上箭头带横线	箭头指向左上方，末端接一道长横线
21B9	制表箭头	上下两个箭头方向相反，末端各抵一道竖线，键盘制表键用它
21BA	逆时针圆箭头	一整圈开口圆弧，箭头逆时针
21BB	顺时针圆箭头	一整圈开口圆弧，箭头顺时针
21BC	左半箭头钩朝上	箭头尖只剩上半边，指向左，也叫鱼叉箭头
21BD	左半箭头钩朝下	箭头尖只剩下半边，指向左
21BE	上半箭头钩朝右	箭头尖只剩右半边，指向上
21BF	上半箭头钩朝左	箭头尖只剩左半边，指向上
21C0	右半箭头钩朝上	箭头尖只剩上半边，指向右
21C1	右半箭头钩朝下	箭头尖只剩下半边，指向右
21C2	下半箭头钩朝右	箭头尖只剩右半边，指向下
21C3	下半箭头钩朝左	箭头尖只剩左半边，指向下
21C4	可逆	上边一个右箭头下边一个左箭头，化学里表示可逆反应
21C5	一上一下双箭头	左边一个上箭头，右边一个下箭头，左右并排
21C6	互换箭头	上边一个左箭头下边一个右箭头，跟可逆箭头方向相反
21C7	双左箭头	两个左箭头上下并排，同时指左
21C8	双上箭头	两个上箭头左右并排，同时指上
21C9	双右箭头	两个右箭头上下并排，同时指右
21CA	双下箭头	两个下箭头左右并排，同时指下
21CB	可逆反应	上面一支半边箭头指左、下面一支指右，化学里的可逆反应号，方向与常见写法相反
21CC	可逆反应	上面一支半边箭头指右、下面一支指左，化学方程式里表示反应能正反两向进行
21CD	不能反推	左向双线箭头加一道斜杠，逻辑里表示由右边推不出左边
21CE	不等价	左右双线箭头加一道斜杠，逻辑里表示两边不等价
21CF	推不出	右向双线箭头加一道斜杠，逻辑里表示由左边推不出右边
21D0	反向推出	左向双线箭头，逻辑里表示由右边推出左边
21D1	双线上箭头	箭杆由两条平行线画成的上箭头，与推出号是同一族
21D2	推出	右向双线箭头，逻辑里表示由左边推出右边，也叫蕴含
21D3	双线下箭头	箭杆由两条平行线画成的下箭头
21D4	等价于	左右双线箭头，逻辑里表示两边互相推出，也读当且仅当
21D5	双线上下箭头	上下两头都有箭尖的竖直双线箭头
21D6	双线左上箭头	指向左上角的双线斜箭头
21D7	双线右上箭头	指向右上角的双线斜箭头
21D8	双线右下箭头	指向右下角的双线斜箭头
21D9	双线左下箭头	指向左下角的双线斜箭头
21DA	三线左箭头	箭杆由三条平行线画成，指向左边
21DB	三线右箭头	箭杆由三条平行线画成，指向右边
21DC	波浪左箭头	箭杆画成波浪线的左箭头
21DD	波浪右箭头	箭杆画成波浪线的右箭头
21DE	上翻页	箭杆上带两道横杠的上箭头，键盘上表示向上翻一页
21DF	下翻页	箭杆上带两道横杠的下箭头，键盘上表示向下翻一页
21E0	虚线左箭头	箭杆由一段段短横组成，指向左边
21E1	虚线上箭头	箭杆由一段段短横组成，指向上方
21E2	虚线右箭头	箭杆由一段段短横组成，指向右边
21E3	虚线下箭头	箭杆由一段段短横组成，指向下方
21E4	左箭头到竖线	箭头向左抵住一条竖线停住，键盘上是反向制表
21E5	右箭头到竖线	箭头向右抵住一条竖线停住，键盘上是制表键
21E6	空心左箭头	只有轮廓、中间不填色的左箭头
21E7	空心上箭头	只有轮廓的上箭头，键盘上用作上档键
21E8	空心右箭头	只有轮廓、中间不填色的右箭头
21E9	空心下箭头	只有轮廓、中间不填色的下箭头
21EA	大写锁定	空心上箭头下面加一道横杠，键盘上的大写锁定键
21EB	带座空心上箭头	空心上箭头立在一个方台座上
21EC	带座空心上箭头	空心上箭头立在台座上，台座中间有一道横杠
21ED	带座空心上箭头	空心上箭头立在台座上，台座中间有一道竖杠
21EE	双尖空心上箭头	箭尖画成上下两层的空心上箭头，没有台座
21EF	带座双尖上箭头	箭尖画成上下两层的空心上箭头，立在台座上
21F0	靠墙空心右箭头	空心右箭头，尾巴连着一段竖直的墙线
21F1	左上箭头到角	箭头指向左上角并抵住角落，界面上常表示回到开头
21F2	右下箭头到角	箭头指向右下角并抵住角落，界面上常表示跳到末尾
21F3	空心上下箭头	上下两头都有箭尖的空心竖直箭头
21F4	带小圆右箭头	箭杆上带一个小圆圈的右箭头
21F5	两支上下箭头	左边一支箭头朝下、右边一支箭头朝上，两支并排
21F6	三支右箭头	三支平行的右箭头上下叠在一起
21F7	带竖杠左箭头	箭杆中间加一道竖杠的左箭头，与右向的偏函数箭头方向相反
21F8	带竖杠右箭头	箭杆中间加一道竖杠的右箭头，数学里表示偏函数
21F9	带竖杠双向箭头	两头都有箭尖、箭杆中间加一道竖杠的左右箭头
21FA	带双竖杠左箭头	箭杆上加两道竖杠的左箭头
21FB	带双竖杠右箭头	箭杆上加两道竖杠的右箭头，比一道竖杠的多一道
21FC	带双竖杠双向箭头	两头都有箭尖、箭杆上加两道竖杠的左右箭头
21FD	开口左箭头	箭尖只画成不闭合的开口尖角，指向左边
21FE	开口右箭头	箭尖只画成不闭合的开口尖角，指向右边
21FF	开口双向箭头	两头都是不闭合开口箭尖的左右箭头
2200	对任意	全称量词，表示对所有元素都成立
2201	补集	写在集合前面，取该集合以外的部分
2202	偏导	多元函数只对其中一个变量求导
2203	存在	存在量词，表示至少有一个满足条件
2204	不存在	存在量词加一道斜杠，表示找不到满足条件的
2205	空集	不含任何元素的集合，形如带斜线的圆
2206	变化量	三角形状的大写德尔塔，表示前后差值或增量
2207	梯度	倒三角形状的算子，也用来表示散度和旋度
2208	属于	元素在这个集合里面
2209	不属于	属于加一道斜杠，元素不在这个集合里
220A	属于	小号字形的属于，比常用的属于矮一圈
220B	含有元素	属于反过来写，左边集合含有右边这个元素
220C	不含元素	含有元素加一道斜杠，左边集合里没有右边这个元素
220D	含有元素	小号字形的含有元素，比常用的矮一圈
220E	证毕	一个实心方块，标在证明末尾表示到此完成
220F	连乘	大写派的形状，把一串数连续相乘
2210	余积	连乘倒过来写，也用来表示不交并
2211	求和	大写西格玛的形状，把一串数连续相加
2212	减	数学专用的减号，比键盘上的短横长一些
2213	负正	上面减号下面加号，与正负号的顺序相反
2214	带点加号	加号的上方多一个点
2215	除法斜线	数学专用的斜线，表示相除，比键盘斜杠更陡
2216	差集	反斜线形状，从左边集合里去掉右边集合的元素
2217	运算星号	数学里当运算用的星号，居中书写，比键盘星号高
2218	复合	一个小圆圈，把两个函数接起来
2219	实心圆点	数学里当乘号用的粗圆点，比句中的间隔号大
221A	根号	求平方根，勾状笔画带一道上横线
221B	立方根	根号的左上角带一个三
221C	四次根	根号的左上角带一个四
221D	正比于	形似小写阿尔法，表示两个量成正比
221E	无穷大	横放的八字形闭合曲线
221F	直角	直角形状的折线，标在几何图形里
2220	角	几何里的角，写在表示角的字母前面
2221	带弧的角	角的两边之间加一段弧线，表示已量出度数
2222	球面角	一段弧配上两条边，表示球面上的角
2223	整除	一条竖线，左边的数能整除右边的数
2224	不整除	竖线加一道斜杠，表示除不尽
2225	平行	两条竖线，表示两条直线互相平行
2226	不平行	两条竖线加一道斜杠
2227	逻辑与	尖角朝上的折线，表示并且，两边同时成立
2228	逻辑或	尖角朝下的折线，表示或者，至少一边成立
2229	交集	开口朝下，取两个集合的公共部分
222A	并集	开口朝上，把两个集合合并起来
222B	积分	竖着拉长的弯曲线条，表示求积分
222C	二重积分	两个积分号并排
222D	三重积分	三个积分号并排
222E	环积分	积分号中间套一个圆圈，沿闭合曲线积分
222F	曲面积分	两个积分号套一个圆圈，沿闭合曲面积分
2230	体积分	三个积分号套一个圆圈，对闭合区域积分
2231	顺时针积分	积分号上带顺时针方向的箭头，不带圆圈
2232	顺时针环积分	积分号套圆圈，箭头指顺时针方向
2233	逆时针环积分	积分号套圆圈，箭头指逆时针方向
2234	所以	三个点，上面一个下面两个
2235	因为	三个点，上面两个下面一个
2236	比	竖排的两个点，表示两数相比，区别于标点冒号
2237	比例号	四个点排成方形，用在比例式里代替等号
2238	带点减号	减号的上方多一个点
2239	差额号	一道横线右边跟两个竖排的点，表示超出的量
223A	几何比例号	一道横线上下各有两个点，用在几何比例式里
223B	位似	波浪线的上下各带一个点，表示两个图形位似
223C	相似	单条波浪线，起笔朝上，也用来表示约等于
223D	相似	中文教材表示图形相似的波浪线，起笔朝下，与上一个方向相反
223E	横向双弧线	两段方向相反的弧首尾相接，横着躺的曲线
223F	正弦波	一段上下起伏的波形曲线
2240	圈积	群论里两个群的圈积运算
2241	不相似	波浪线加一道斜杠，表示两者不相似也不等价
2242	减号加波浪线	一条短横压在波浪线上，很少见
2243	渐近等于	波浪线下面加一横，也用来表示同构或同伦等价
2244	不渐近等于	渐近等于号加一道斜杠
2245	全等于	国际通用的全等号，代数里也表示同构
2246	近似而不等	表示两者近似相等，但并不严格相等
2247	不全等	全等号加一道斜杠，几何里表示两个图形不全等
2248	约等于	两条波浪线上下叠放，最常用的近似相等号
2249	不约等于	约等于号加一道斜杠
224A	约等于或等于	两条波浪线下面再加一横
224B	三条波浪线	三层波浪线叠放，比两条的约等号少见
224C	全等于	中国中学几何教材里的全等号，多用于三角形
224D	等价于	数学分析里也表示两个量同阶
224E	几何等价	几何里表示两个图形等价，很少见
224F	相差	表示两个量之间的差，旧书里的写法
2250	趋于极限	等号上方加一点，表示趋向极限
2251	几何相等	等号上下各加一点
2252	约等于	日本和台湾教材里常用的约等号
2253	约等于	上下两点的位置与前一个约等号相反，极少用
2254	定义为	冒号在前等号在后，编程里也表示赋值
2255	定义为	等号在前冒号在后，被定义的是右边那一项
2256	等号中间带圈	等号中间嵌着一个小圆，很少见
2257	等号上带圈	等号上方一个小圆，很少见
2258	对应于	等号上方加一段弧线，表示两者相对应
2259	估计为	等号上方一个向上的尖角，工程上也表示两者相当
225A	等角于	等号上方一个向下的尖角，表示两图形对应角相等
225B	等号上带星	等号上方一个小星，很少见
225C	定义为	等号上方一个三角，工程和控制论里常用
225D	定义为	等号上方带一个定义标记，数学书写定义式时用
225E	量度为	表示左边由右边来量度，很少见
225F	是否等于	等号上方一个问号，表示这个等式还有待验证
2260	不等于
2261	恒等于	三条平行横线，数论里表示同余
2262	不恒等于	三条横线加斜杠，数论里表示不同余
2263	严格恒等	四条平行横线，比三横的恒等号语气更强
2264	小于等于	小于号下面加一横，最常用的写法
2265	大于等于	大于号下面加一横，最常用的写法
2266	小于等于	小于号下面是完整的等号，日本教材常用
2267	大于等于	大于号下面是完整的等号，日本教材常用
2268	小于且不等	小于等于号下面加斜杠，强调不能取等号
2269	大于且不等	大于等于号下面加斜杠，强调不能取等号
226A	远小于	两个小于号并排
226B	远大于	两个大于号并排
226C	介于之间	表示一个量夹在另外两个之间，很少见
226D	不等价	等价号加一道斜杠
226E	不小于	小于号加一道斜杠
226F	不大于	大于号加一道斜杠
2270	不小于等于	小于等于号加一道斜杠
2271	不大于等于	大于等于号加一道斜杠
2272	小于或约等于	小于号下面加波浪线，分析里表示不超过某个量级
2273	大于或约等于	大于号下面加波浪线，分析里表示不低于某个量级
2274	不小于或约等于	小于或约等于号加斜杠，两种情况都不成立
2275	不大于或约等于	大于或约等于号加斜杠，两种情况都不成立
2276	小于或大于	小于号在上大于号在下，表示两数可比而不相等
2277	大于或小于	大于号在上小于号在下，含义与小于或大于相同
2278	不可比较	小于或大于号加斜杠，两数大小无法比较
2279	不可比较	大于或小于号加斜杠，写法与前一个相反
227A	先于	圆弧形的小于号，偏序关系里表示排在前面
227B	后于	圆弧形的大于号，偏序关系里表示排在后面
227C	先于或等于	先于号下面加一横
227D	后于或等于	后于号下面加一横
227E	先于或等价	先于号下面加波浪线
227F	后于或等价	后于号下面加波浪线
2280	不前于	序关系里表示左边不排在右边前面，前于号加一道斜杠
2281	不后于	序关系里表示左边不排在右边后面，后于号加一道斜杠
