# 人工重写的 emoji 读法：脸、手势、身体部位、心形、气泡、月亮脸。
# 标准：简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
#   1. 有公认中文叫法就用它，别改；2. 没有就用最能辨认的视觉特征造短名；
#   3. 不许重名；4. 简洁名不写含义；5. 含义一律写「常表示」，因为它依赖上下文。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、重名均已逐条校验。
261D FE0F	竖起食指	竖起食指：手侧对着，竖起一根食指。常表示等一下、划重点、数字一
1F602	笑哭了	笑哭了：眯眼大笑、两眼各流下一大滴泪。常表示太好笑，也可自嘲
1F603	大眼露齿笑	大眼露齿笑：眼睛睁得很大、嘴大张露上排牙。常表示高兴、兴奋
1F604	弯眼露齿笑	弯眼露齿笑：眼睛弯成月牙、嘴大张露上排牙。常表示开心大笑
1F605	苦笑	苦笑：眯眼张嘴笑、额角一滴汗。常表示尴尬、庆幸，也可阴阳怪气
1F606	眯眼大笑	眯眼大笑：两眼紧闭成两道弯、嘴大张。常表示笑得停不下来
1F607	微笑天使	微笑天使：头顶悬着一圈光环、眼睛弯弯地笑。常表示无辜、装乖
1F608	坏笑恶魔	坏笑恶魔：紫脸、头顶两只角、眯眼上扬嘴角。常表示使坏、调侃，有时调情
1F609	眨眼	眨眼：一只眼闭上、嘴角上扬。常表示调皮、暗示、心照不宣
1F60A	弯眼微笑	弯眼微笑：眼睛弯成月牙、双颊明显泛红、抿嘴笑。常表示开心、友好
1F60B	好吃	好吃：眼睛弯成月牙、舌头伸出舔嘴角。常表示好吃、馋、满足
1F60C	闭眼微笑	闭眼微笑：眉毛放松、双眼闭成下弯弧、嘴角上扬。常表示满足、安心
1F60D	爱心眼	爱心眼：两只眼睛是红爱心、咧嘴笑。常表示喜欢、花痴、太美了
1F60E	墨镜笑脸	墨镜笑脸：戴黑色墨镜、咧嘴笑。常表示酷、得意、稳了
1F60F	斜眼坏笑	斜眼坏笑：眼睛半眯斜看、单边嘴角上扬。常表示得意、揶揄，也作性暗示，慎用
1F610	面无表情	面无表情：两个圆点眼、嘴是一条直线。常表示无语、尴尬、不予置评
1F611	闭眼无表情	闭眼无表情：眼睛闭成两条横线、嘴是一条直线。常表示无奈、懒得理
1F612	斜眼撇嘴	斜眼撇嘴：眼睛往上斜看、嘴角向下撇。常表示不爽、无语、鄙视
1F613	汗	汗：低头皱眉、脸侧挂一大滴汗珠。常表示尴尬、无奈、心累
1F614	低头难过	低头难过：眉毛下垂、双眼闭合朝下、嘴角下撇。常表示失落、沮丧、无奈
1F615	疑惑	疑惑：眉毛一高一低、嘴角一边下撇成斜弧。常表示困惑、没听懂
1F616	歪嘴皱眉	歪嘴皱眉：双眼紧闭、眉头皱起、嘴扭成波浪线。常表示难受、纠结
1F617	亲亲	亲亲：眼睛睁圆、嘴撅成小圆。常表示亲一下、送吻
1F618	飞吻	飞吻：一只眼闭着、撅嘴送出一颗红心。常表示亲一个、感谢、喜欢
1F619	笑眼亲亲	笑眼亲亲：眼睛弯成月牙、撅着嘴。常表示带笑送吻、喜欢
1F61A	闭眼亲亲	闭眼亲亲：眼睛闭成两道弯、双颊泛红、撅着嘴。常表示害羞地亲一下
1F61B	吐舌	吐舌：眼睛睁着、舌头伸在外面。常表示开玩笑、扮鬼脸
1F61C	眨眼吐舌	眨眼吐舌：一只眼闭着、舌头伸在外面。常表示调皮、开玩笑
1F61D	眯眼吐舌	眯眼吐舌：双眼紧闭成两道弯、舌头大幅伸出。常表示扮鬼脸、开玩笑
1F61E	失望	失望：眉毛和眼睛都向下垂、嘴角朝下。常表示失落、沮丧
1F61F	担心	担心：眉毛八字上扬、眼睛睁开、嘴角向下弯。常表示担忧、不安
1F620	皱眉生气	皱眉生气：黄脸、眉毛压低成八字、嘴角向下。常表示不高兴，比红脸轻
1F621	红脸发怒	红脸发怒：整张脸涨成红色、眉头紧皱、嘴角向下。常表示发火、很生气
1F622	哭	哭：眉毛下垂、嘴角向下、一只眼流下一滴泪。常表示难过、委屈、感动
1F623	忍耐	忍耐：双眼紧闭、眉头皱紧、嘴角向下抿。常表示忍着难受、使劲撑住
1F624	鼻孔喷气	鼻孔喷气：紧闭双眼、皱眉、鼻孔喷出两股白气。常表示不服气、得意、憋火
1F625	无奈冒汗	无奈冒汗：眉毛下垂、眼睛微闭、嘴角下撇、脸侧一滴汗。常表示无奈、失落
1F626	皱眉张嘴	皱眉张嘴：眉毛下垂、眼睛睁开、嘴张成椭圆。常表示错愕、傻眼
1F627	痛苦张嘴	痛苦张嘴：眉毛内侧揪起、眼睛睁大、嘴张开。常表示难受、难以置信
1F628	害怕	害怕：眉毛上扬、双眼瞪大、嘴张开、额头发白。常表示吓到、恐惧、不敢想
1F629	哀嚎	哀嚎：八字眉、眼睛闭成弯线、嘴巴张大。常表示受不了、好累、抱怨
1F62A	犯困	犯困：闭眼低头、鼻子上挂一个蓝色泡。常表示困，也常被当成流泪
1F62B	累瘫	累瘫：眉头皱紧、双眼紧闭、嘴巴张大。常表示疲惫、扛不住了
1F62C	瞪眼咬牙	瞪眼咬牙：眼睛睁着、上下两排牙紧咬咧开。常表示尴尬、心虚、糟了
1F62D	大哭	大哭：双眼紧闭、嘴张大、喷出两道泪。常表示崩溃、感动、太惨了
1F62E	张大嘴	张大嘴：眼睛睁大、嘴张成圆形。常表示惊讶、哇、没想到
1F62E 200D 1F4A8	叹气	叹气：闭眼、嘴向侧边呼出一股白气。常表示松口气、无奈、累了
1F62F	张小嘴	张小嘴：眉毛上扬、眼睛睁大、嘴张成小圆形。常表示轻微吃惊
1F630	冒冷汗	冒冷汗：眉毛上扬、眼睛瞪大、嘴张开、额头一大滴汗。常表示紧张、后怕、心虚
1F631	尖叫	尖叫：双手捧住脸颊、嘴张成圆形、脸色发白。常表示震惊、吓到
1F632	目瞪口呆	目瞪口呆：眼睛瞪到最大、嘴张得极大。常表示极度震惊、吓一跳
1F633	脸红	脸红：双眼睁大、两颊通红、嘴很小。常表示害羞、尴尬、被惊到
1F634	睡着了	睡着了：闭眼张口、旁边飘着三个字母Z。常表示睡觉、困、无聊
1F635	叉叉眼	叉叉眼：两只眼睛画成叉、嘴张开。常表示晕了、受不了
1F635 200D 1F4AB	螺旋眼	螺旋眼：两眼是打转的螺旋圈、嘴歪。常表示晕、懵了、天旋地转
1F636	没有嘴	没有嘴：只有两只圆眼睛、完全没有嘴。常表示无话可说、沉默
1F636 200D 1F32B FE0F	云雾遮脸	云雾遮脸：没有嘴的脸、半张脸被雾遮住。常表示迷茫、脑子一团糊
1F637	戴口罩	戴口罩：白色医用口罩遮住口鼻、眼睛微弯。常表示生病、防护
1F638	眯眼笑猫	眯眼笑猫：猫脸张嘴笑、眼睛弯成月牙
1F639	笑哭猫	笑哭猫：猫脸张嘴大笑、两眼流出泪。常表示笑死了
1F63A	咧嘴笑猫	咧嘴笑猫：猫脸张嘴露牙笑、眼睛睁圆
1F63B	爱心眼猫	爱心眼猫：猫脸张嘴笑、两只眼睛是红心。常表示喜欢、被萌到
1F63C	歪嘴笑猫	歪嘴笑猫：猫脸嘴角单边上扬、眼睛斜看。常表示得意、坏笑
1F63D	亲亲猫	亲亲猫：猫脸闭着眼、嘴撅起来送吻。常表示亲一个、喜欢
1F63E	生气猫	生气猫：猫脸眉头压低、嘴角向下抿。常表示不高兴、生闷气
1F63F	哭泣猫	哭泣猫：猫脸眼角流泪、嘴角向下。常表示难过、委屈
1F640	惊恐猫	惊恐猫：猫脸眼睛瞪圆、嘴巴大张。常表示震惊、吓一跳
1F641	有点不开心	有点不开心：眼睛正常、嘴角轻轻下撇。常表示轻微失望、不太乐意
1F642	浅笑	浅笑：圆点眼、嘴角只微微上扬。常表示礼貌、无奈，年轻人多当敷衍
1F642 200D 2194 FE0F	摇头	摇头：微笑的脸配一个左右双向箭头。常表示否定、不行
1F642 200D 2195 FE0F	点头	点头：微笑的脸配一个上下双向箭头。常表示同意、好的
1F643	倒脸	倒脸：整张笑脸上下颠倒过来。常表示无奈、自嘲、说反话
1F644	翻白眼	翻白眼：眼珠往上翻只剩眼白、嘴平直。常表示无语、鄙视、受不了
1F648	捂眼猴	捂眼猴：猴子双手捂住眼睛，三不猴之一。常表示害羞、不敢看
1F649	捂耳猴	捂耳猴：猴子双手捂住耳朵，三不猴之一。常表示不想听、装没听见
1F64A	捂嘴猴	捂嘴猴：猴子双手捂住嘴巴，三不猴之一。常表示不说了、别说漏嘴
1F64C	举双手	举双手：两只手掌张开高举过头。常表示欢呼、庆祝、太好了
1F64F	双手合十	双手合十：两只手掌并拢竖在身前。常表示拜托、感谢、祈祷保佑
1F90C	意大利手势	意大利手势：五根手指指尖捏在一起，手朝上。常表示强调、你在说什么
1F90D	白心	白心：白色的爱心。常表示喜欢，颜色多为搭配
1F90E	棕心	棕心：棕色的爱心，颜色像巧克力。常表示喜欢
1F90F	捏一点点	捏一点点：拇指和食指几乎捏在一起，只留细缝。常表示一点点、很小；也用来嘲讽尺寸小
1F910	拉链嘴	拉链嘴：嘴巴是一条拉上的拉链。常表示不说了、保密、闭嘴
1F911	财迷	财迷：两只眼睛是美元符号、舌头是一张钞票。常表示想赚钱、发财、贪财
1F912	发烧	发烧：嘴里含一支体温计、脸颊泛红、眉毛下垂。常表示生病、不舒服
1F913	书呆子	书呆子：黑框大眼镜、露出两颗大门牙。常表示学霸、卖弄知识，带调侃
1F914	摸下巴思考	摸下巴思考：一只手托着下巴、眉头皱起、眼睛斜看。常表示琢磨、存疑
1F915	头缠绷带	头缠绷带：白绷带绕过额头、眉毛下垂、嘴角歪。常表示受伤、不舒服
1F916	机器人	机器人：灰蓝色方头、两只圆眼、头顶两根天线。常表示机器人、自动回复
1F917	抱抱	抱抱：笑脸两侧张开两只手掌。常表示拥抱、安慰、欢迎
1F918	摇滚手势	摇滚手势：食指和小指伸出，其余收拢。常表示摇滚、酷；在意大利是侮辱
1F919	打电话手势	打电话手势：拇指和小指伸出，其余收拢。常表示打电话、六六六
1F91A	举起手背	举起手背：手举起，五指并拢伸直，朝外的是手背。常表示举手、示意停
1F91B	朝左的拳头	朝左的拳头：侧面握拳，指节朝左。常表示碰拳，多与朝右的拳头连用
1F91C	朝右的拳头	朝右的拳头：侧面握拳，指节朝右。常表示碰拳，多与朝左的拳头连用
1F91D	握手	握手：两只手交握在一起。常表示成交、合作、达成一致
1F91E	交叉手指	交叉手指：中指绕在食指上交叉，其余手指握起。常表示求好运；西方也指说谎不算数
1F91F	爱你手势	爱你手势：伸出拇指、食指和小指，掌心朝外。常表示我爱你、喜欢你
1F920	牛仔帽笑脸	牛仔帽笑脸：戴棕色宽檐牛仔帽、咧嘴笑、眼睛睁开
1F921	小丑	小丑：白脸、红鼻头红嘴、蓝眼影、彩色头发。常表示自嘲丢人，也可讽刺人
1F922	恶心	恶心：整张脸发绿、皱眉、嘴向下扭。常表示反胃、嫌恶、辣眼睛
1F923	笑到打滚	笑到打滚：脸歪倒向一侧、眯眼流泪、大张着嘴。常表示笑死了、太好笑
1F924	流口水	流口水：张嘴微笑、嘴角流下一道口水。常表示馋了、想要、迷恋
1F925	长鼻子说谎	长鼻子说谎：黄色笑脸伸出一根很长的鼻子。常表示说谎、吹牛
1F927	打喷嚏	打喷嚏：手拿白纸巾捂住口鼻、眼睛闭着。常表示感冒、过敏
1F928	挑眉	挑眉：一边眉毛高高扬起、嘴角微撇。常表示怀疑、质疑、看不懂
1F929	星星眼	星星眼：两只眼睛是黄星星、大张着嘴。常表示崇拜、惊艳
1F92A	大小眼吐舌	大小眼吐舌：两眼一大一小、嘴歪着吐出舌头。常表示疯癫、搞怪、上头
1F92B	嘘	嘘：食指竖在嘴唇中间、眼睛看着前方。常表示保密、别说、安静
1F92C	爆粗口	爆粗口：红脸皱眉、嘴上盖着一串符号代替脏字。常表示骂人、气炸
1F92D	捂嘴笑	捂嘴笑：一只手捂在嘴上、眼睛弯着笑。常表示偷笑、不好意思说
1F92E	呕吐	呕吐：绿脸闭眼、嘴大张吐出绿色秽物。常表示恶心到极点、极度反感
1F92F	头炸了	头炸了：头顶掀开炸出蘑菇云、双眼瞪大。常表示震惊、崩溃、信息量太大
1F932	双手捧起	双手捧起：两只手掌并拢向上托着。常表示祈祷、捧着、求你了
1F933	自拍	自拍：一只手举着手机对准自己。常表示自拍、发照片
1F970	三心笑脸	三心笑脸：闭眼微笑、脸旁飘着三颗红心。常表示喜欢、被暖到
1F971	打哈欠	打哈欠：一只手挡在张大的嘴前、眼睛眯起。常表示困、无聊
1F972	含泪微笑	含泪微笑：微笑着、一只眼下挂一滴泪。常表示强忍难过、感动、心酸
1F973	庆祝	庆祝：戴尖顶派对帽、吹彩色喇叭、周围飘彩纸屑。常表示过节、祝贺
1F974	喝醉	喝醉：脸颊泛红、两眼一大一小、嘴歪成波浪。常表示喝多、晕乎、上头
1F975	热化了	热化了：整脸通红、吐舌、额头冒汗。常表示天气热、辣，也指看人上头
1F976	冻僵了	冻僵了：整张脸发蓝结霜、牙齿紧咬打颤。常表示很冷、冻住了
1F978	假胡子眼镜	假胡子眼镜：黑框眼镜连着假鼻子和黑胡子。常表示伪装、马甲号
1F979	憋住眼泪	憋住眼泪：眼里蓄满泪水、眉毛上扬、嘴角微扬。常表示感动、破防、快哭了
1F97A	泪汪汪	泪汪汪：眼睛睁大含泪、眉毛下垂。常表示撒娇、求求了
1F9B4	骨头	骨头：一根白色的腿骨，两端粗大。常表示骨头、骨骼
1F9B5	腿	腿：一条裸露的腿，膝盖微弯，连着脚。常表示大长腿、腿部
1F9B6	脚	脚：一只光着的脚，脚趾朝左。常表示光脚、踩；偶尔带恋足梗
1F9B7	牙齿	牙齿：一颗白色的牙，带着牙根。常表示看牙、牙齿、掉牙
1F9BB	助听器耳朵	助听器耳朵：耳朵上戴着一只助听器。常表示听障、无障碍
1F9BE	机械手臂	机械手臂：金属做的假肢手臂，弯起来。常表示义肢、机械化、强悍
1F9BF	机械腿	机械腿：金属做的假肢小腿和脚。常表示义肢、机械化
1F9D0	单片眼镜	单片眼镜：右眼架一枚圆形单片镜、眉毛挑起。常表示审视、存疑、细看
1F9E0	大脑	大脑：粉红色带沟回的大脑。常表示动脑、聪明、脑洞
1F9E1	橙色心	橙色心：橙色的爱心。常表示喜欢，颜色多为搭配
1FA75	浅蓝色心	浅蓝色心：淡蓝色的爱心，比蓝心浅一号。常表示喜欢
1FA76	灰色心	灰色心：灰色的爱心。用法不固定，多为颜色搭配
1FA77	粉色心	粉色心：粉红色的爱心。常表示可爱、少女心、喜欢
1FAC0	心脏	心脏：红色的真实心脏器官，带血管，不是爱心。常表示心跳、健康
1FAC1	肺	肺：一对粉色的肺，中间连着气管。常表示呼吸、肺部健康
1FAE0	融化	融化：笑脸正在向下融化成一滩。常表示尴尬到想消失、热化了
1FAE1	敬礼	敬礼：一只手举到额头边行礼、微微笑。常表示收到、遵命、佩服
1FAE2	瞪眼捂嘴	瞪眼捂嘴：一只手捂在嘴上、眼睛睁得很大。常表示震惊、说漏嘴
1FAE3	捂脸偷看	捂脸偷看：双手捂住脸、一只眼从指缝里露出来。常表示不敢看、害羞
1FAE4	斜嘴无语	斜嘴无语：眼睛平视、嘴是一条倾斜的直线。常表示勉强、无奈、说不好
1FAE5	虚线脸	虚线脸：整张脸是虚线轮廓、像要消失。常表示隐身、社恐、没存在感
1FAE6	咬嘴唇	咬嘴唇：牙齿咬着下嘴唇。常表示紧张、忍住；网络上多作调情
1FAE8	晃动脸	晃动脸：脸左右晃出重影、眼睛瞪大、嘴张开。常表示震惊、被吓到
1FAE9	黑眼圈	黑眼圈：眼下有深色眼袋、眼皮半垂、嘴平直。常表示熬夜、疲惫、没睡好
1FAEA	扭曲脸	扭曲脸：黄色笑脸被拉扯变形、五官歪斜错位
1FAEF	打架烟云	打架烟云：灰色尘团，漫画里扭打成一团。常表示打架；较新，部分设备显示不出
1FAF0	手指比心	手指比心：拇指与食指交叉搭成小爱心，其余手指握起。常表示喜欢、谢谢，源自韩国
1FAF1	向右伸手	向右伸手：手掌侧立朝右伸出，拇指在上。可与向左伸手拼成握手
1FAF2	向左伸手	向左伸手：手掌侧立朝左伸出，拇指在上。可与向右伸手拼成握手
1FAF3	手心朝下	手心朝下：手向前平伸，掌心朝下。常表示往下压、稍安勿躁
1FAF4	手心朝上	手心朝上：手向前平伸，掌心朝上摊开。常表示给你、请拿、讨要
1FAF5	指着你	指着你：手正对前方，食指直冲看的人。常表示就是你、点名
1FAF6	双手比心	双手比心：两只手在胸前拼成一个心形。常表示喜欢、感谢、爱你们
1FAF7	向左推	向左推：手掌竖起，掌心朝左推出。可与向右推拼成击掌或对推
1FAF8	向右推	向右推：手掌竖起，掌心朝右推出。可与向左推拼成击掌或对推
